sku,name,category,grade,color_family,image_url,detail_url
89059,Caramel,Cushion Fabrics,,Brown / Bronze / Earth,"https://platform.brownjordan.com/media/catalog/product/8/9/89059_tropitone_large_0bd3.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89059
89028,Chestnut,Cushion Fabrics,,Brown / Bronze / Earth,"https://platform.brownjordan.com/media/catalog/product/8/9/89028_tropitone_large_89a4.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89028
14346,Royal Blue,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/1/4/14346_tropitone_large_0cbc.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/14346
89148,Pasadena Cobblestone,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/8/9/89148_tropitone_large_1fb2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89148
89029,Ebony,Cushion Fabrics,,Black,"https://platform.brownjordan.com/media/catalog/product/8/9/89029_tropitone_large_04f8.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89029
89025,Cloud,Cushion Fabrics,,White / Ivory / Cream,"https://platform.brownjordan.com/media/catalog/product/8/9/89025_tropitone_large_844b.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89025
89146,Pasadena Navy,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/8/9/89146_tropitone_large_91a5.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89146
89068,Sodalite,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/8/9/89068_tropitone_large_42cc.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89068
89055,Aloe Vera,Cushion Fabrics,,Green,"https://platform.brownjordan.com/media/catalog/product/8/9/89055_tropitone_large_c00d.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89055
89143,Galaxite,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/8/9/89143_tropitone_large_4484.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89143
20301,Valencia,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/2/0/20301_tropitone_large_9214.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/20301
17423,Foothills,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/1/7/17423_tropitone_large_e574.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/17423
37110,Midnight,Cushion Fabrics,,Black,"https://platform.brownjordan.com/media/catalog/product/3/7/37110_tropitone_large_b750.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/37110
12331,Palmer,Cushion Fabrics,,Green,"https://platform.brownjordan.com/media/catalog/product/1/2/12331_tropitone_large_2221.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/12331
89131,Charm Tango,Cushion Fabrics,,Multi / Pattern,"https://platform.brownjordan.com/media/catalog/product/8/9/89131_tropitone_large_a1e2.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89131
10399,Waffle Wicker Blue,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/1/0/10399_tropitone_large_50a1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/10399
