finish_type,finish_name,sku,grade,swatch_url
MGP,Storm MGP,,,https://img.telescopecasual.com/FN/200/PF.jpg?v=2021-07-13-13.40.30.958753
MGP,Classic Graphite MGP,,,https://img.telescopecasual.com/FN/200/PR.jpg?v=2019-01-08-11.12.48.545203
MGP,Black MGP,,,https://img.telescopecasual.com/FN/200/PB.jpg?v=2019-01-08-11.12.46.982368
MGP Accent,Hunter,PH0,,
MGP Accent,Cranberry,PC0,,
MGP Accent,Aqua,PQ0,,
MGP Accent,Navy,PN0,,
Rustic Polymer,Cape Grey Accents,,,https://img.telescopecasual.com/AC/200/RG.jpg?v=2025-09-10-10.04.27.388712
Rustic Polymer,Boardwalk Accents,,,https://img.telescopecasual.com/AC/200/RX.jpg?v=2025-09-10-10.04.27.954850
Rustic Polymer,Chestnut Accents,,,https://img.telescopecasual.com/AC/200/RU.jpg?v=2025-09-10-10.04.27.753124
Rustic Polymer,Teak Accents,,,https://img.telescopecasual.com/AC/200/RT.jpg?v=2022-05-16-16.20.59.770000
Rustic Polymer,Laguna Accents,,,https://img.telescopecasual.com/AC/200/RL.jpg?v=2025-09-10-10.04.27.537257
Rustic Polymer,Weathered Wood Accent,,,https://img.telescopecasual.com/AC/200/RW.jpg?v=2025-07-07-00.43.14.954241
Strap,White Strap,066,,https://img.telescopecasual.com/PAT/200/066.jpg?v=2019-01-08-11.10.36.267025
Strap,Snow Smooth Strap,057,,https://img.telescopecasual.com/PAT/200/057.jpg?v=2019-01-08-11.10.35.537055
Strap,Warm Grey Smooth Strap,0YY,,https://img.telescopecasual.com/PAT/200/0YY.jpg?v=2025-09-10-09.53.44.308461
Strap,Pebble Strap,001,,https://img.telescopecasual.com/PAT/200/001.jpg?v=2019-01-08-11.10.31.782091
Strap,Storm Smooth Strap,0FF,,https://img.telescopecasual.com/PAT/200/0FF.jpg?v=2021-07-14-20.28.20.916094
Strap,Beachwood Smooth Strap,0JJ,,https://img.telescopecasual.com/PAT/200/0JJ.jpg?v=2019-01-08-11.12.04.334370
Strap,Kona Smooth Strap,0KK,,https://img.telescopecasual.com/PAT/200/0KK.jpg?v=2019-01-08-11.10.37.811234
Strap,Graphite Smooth Strap,0RR,,https://img.telescopecasual.com/PAT/200/0RR.jpg?v=2025-09-10-10.09.23.142184
Strap,Black Smooth Strap,777,,https://img.telescopecasual.com/PAT/200/777.jpg?v=2019-01-08-11.10.56.668305
Strap,New Navy Smooth Strap,0NN,,https://img.telescopecasual.com/PAT/200/0NN.jpg?v=2025-09-10-09.53.44.153181
Strap,Cobalt Strap,035,,https://img.telescopecasual.com/PAT/200/035.jpg?v=2025-09-10-09.53.44.453874
Strap,Turquoise Strap,028,,https://img.telescopecasual.com/PAT/200/028.jpg?v=2019-01-08-11.12.35.843592
Strap,Forest Green Strap,042,,https://img.telescopecasual.com/PAT/200/042.jpg?v=2019-01-08-11.10.35.232041
