SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
T5406/17,Sky Blue,Tempotest®,D,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_sky-blue_T5406-17.jpg
T5406/52,Coriander,Tempotest®,D,Beige,Beige | Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_coriander_T5406-52.jpg
T5406/94,Mudslide,Tempotest®,D,Brown,Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_mudslide_T5406-94.jpg
T5407/107,Turbulence,Tempotest®,D,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_turbulence_T5407-107.jpg
T5407/15,Silk Grey,Tempotest®,D,Grey,Grey,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_silk-grey_T5407-15.jpg
T5407/17,Skydiver,Tempotest®,D,Blue,Blue,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_skydiver_T5407-17.jpg
T5407/52,Sesame,Tempotest®,D,Beige,Beige | Brown,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_sesame_T5407-52.jpg
T5407/94,Seagrass,Tempotest®,D,Beige,Beige,Textures,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_seagrass_T5407-94.jpg
T5421/11,Melody Sea,Tempotest®,D,Blue,Blue | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_melody-sea_T5421-11.jpg
T5421/12,Melody Grass,Tempotest®,D,Green,Green | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_melody-grass_T5421-12.jpg
T5421/4,Melody Sand,Tempotest®,D,Beige,Beige | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_melody-sand_T5421-4.jpg
T5421/9,Melody Rock,Tempotest®,D,Grey,Grey | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_melody-rock_T5421-9.jpg
T5423/14,Melody Dust Multi,Tempotest®,D,Beige,Beige | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_melody-dust-multi_T5423-14.jpg
T5423/79,Melody Moon Multi,Tempotest®,D,Grey,Grey | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_melody-moon-multi_T5423-79.jpg
T5429/151,Amalfi Coast,Tempotest®,D,Blue,Blue | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_amalfi-coast_T5429-151.jpg
T5430/87,Roman Fountain,Tempotest®,D,Blue,Blue | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_roman-fountain_T5430-87.jpg
T633/79,Grey Rib,Tempotest®,D,Grey,Grey | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_grey-rib_T633-79.jpg
T634/97,Forest  Beige Slub,Tempotest®,D,Green,Green | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_forestbeige-slub_T634-97.jpg
T635/11,Cranberry  Forest,Tempotest®,D,Red,Red | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_cranberryforest_T635-11.jpg
T636/10,Navy  Grey Rib,Tempotest®,D,Blue,Blue | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_navygrey-rib_T636-10.jpg
T636/14,Maple Sugar,Tempotest®,D,Brown,Brown | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_maple-sugar_T636-14.jpg
T636/5,Forest  Beige  Cream,Tempotest®,D,Green,Green | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_forestbeigecream_T636-5.jpg
T636/84,Rust  Cream,Tempotest®,D,Red,Red | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_rustcream_T636-84.jpg
T638/5,Forest Rib,Tempotest®,D,Green,Green | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_forest-rib_T638-5.jpg
T639/99,Beige Brown Slub,Tempotest®,D,Beige,Beige | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_beige-brown-slub_T639-99.jpg
T641/10,Navy  Beige,Tempotest®,D,Blue,Blue | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_navybeige_T641-10.jpg
