product_category,item_number,finish_code,finish_name,size,vent_type,msrp_C_Suncrylic,sale_C_Suncrylic,msrp_B_Sunbrella,sale_B_Sunbrella,msrp_A_Sunbrella,sale_A_Sunbrella,msrp_BB_Sunbrella,sale_BB_Sunbrella,msrp_AA_Sunbrella,sale_AA_Sunbrella
Aluminum Market Umbrella - Commercial,725BK,BK,Black,7.5',Double Vent,n/a,n/a,800,600,855,642,840,630,895,672
Aluminum Market Umbrella - Commercial,725W,W,White,7.5',Single Vent,595,447,680,510,735,552,720,540,775,582
Aluminum Market Umbrella - Commercial,725W,W,White,7.5',Double Vent,n/a,n/a,800,600,855,642,840,630,895,672
Aluminum Market Umbrella - Commercial,735AB,AB,Antique Bronze,9',Single Vent,715,537,780,585,835,627,820,615,875,657
Aluminum Market Umbrella - Commercial,735AB,AB,Antique Bronze,9',Double Vent,n/a,n/a,900,675,955,717,940,705,995,747
Aluminum Market Umbrella - Commercial,735BK,BK,Black,9',Single Vent,715,537,780,585,835,627,820,615,875,657
Aluminum Market Umbrella - Commercial,735BK,BK,Black,9',Double Vent,n/a,n/a,900,675,955,717,940,705,995,747
Aluminum Market Umbrella - Commercial,735W,W,White,9',Single Vent,715,537,780,585,835,627,820,615,875,657
Aluminum Market Umbrella - Commercial,735W,W,White,9',Double Vent,n/a,n/a,900,675,955,717,940,705,995,747
Aluminum Market Umbrella - Commercial,772AB,AB,Antique Bronze,3.5x7',Single Vent,n/a,n/a,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Commercial,772AB,AB,Antique Bronze,3.5x7',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Cantilever,887AB,AB,Antique Bronze,11',Single Vent,2950,2213,3180,2385,3265,2449,3230,2423,3315,2487
Aluminum Market Umbrella - Cantilever,887AB,AB,Antique Bronze,11',Double Vent,n/a,n/a,3320,2490,3405,2554,3370,2528,3455,2592
Aluminum Market Umbrella - Cantilever,887BK,BK,Black,11',Single Vent,2950,2213,3180,2385,3265,2449,3230,2423,3315,2487
Aluminum Market Umbrella - Cantilever,887BK,BK,Black,11',Double Vent,n/a,n/a,3320,2490,3405,2554,3370,2528,3455,2592
