Collection,Product Name,SKU,Height (in),Width/Diam (in),Depth/Length (in),Arm Height (in),Seat Height (in),Weight (lbs),Spec Sheet PDF URL,Source URL,SKU Flag
Casual Fireside,"42"" Rd. Chat Height Capri Fire Pit",5112-42RDC,24,42,42,,,198,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-42RDC-Capri.pdf,https://www.owlee.com/collections/capri/42-rd-chat-height-capri-fire-pit/,
Casual Fireside,"42"" Rd. Chat Height Santorini Fire Pit",5110-42RDC,24,42,42,,,198,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-42RDC-Santorini.pdf,https://www.owlee.com/collections/santorini/42-rd-chat-height-santorini-fire-pit/,
Casual Fireside,"42"" Rd. Occasional Height Capri Fire Pit",5112-42RDO,19,42,42,,,192,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-42RDO-Capri.pdf,https://www.owlee.com/collections/capri/42-rd-occasional-height-capri-fire-pit/,
Casual Fireside,"42"" Rd. Occasional Height Santorini Aluminum Fire Pit",5110-RDO,19,42,42,,,192,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-42RDO-Santorini.pdf,https://www.owlee.com/collections/santorini/42-rd-occasional-height-santorini-aluminum-fire-pit/,
Casual Fireside,"54"" Rd. Chat Height Capri Fire Pit",5112-54RDC,24,54,54,,,254,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-54RDC-Capri.pdf,https://www.owlee.com/collections/capri/54-rd-chat-height-capri-fire-pit/,
Casual Fireside,"54"" Rd. Chat Height Santorini Fire Pit",51110-54RDC,24,54,54,,,254,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-54RDC-Santorini.pdf,https://www.owlee.com/collections/santorini/54-rd-chat-height-santorini-fire-pit/,
Casual Fireside,"54"" Rd. Occasional Height Capri Fire Pit",5112-54RDO,19,54,54,,,248,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-54RDO-Capri.pdf,https://www.owlee.com/collections/capri/54-rd-occasional-height-capri-fire-pit/,
Casual Fireside,"54"" Rd. Occasional Height Santorini Aluminum Fire Pit",51110-54RDO,19,54,54,,,248,,https://www.owlee.com/collections/santorini/54-rd-occasional-height-santorini-aluminum-fire-pit/,
Elba,"28"" x 72"" Chat Height Elba Aluminum Fire Pit",5122-2872C,24,72,28,,,236,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-2872C-Elba.pdf,https://www.owlee.com/collections/casual-fireside/28x72-chat-height-elba-aluminum-fire-pit-casual-fireside-elba/,
Elba,"28"" x 72"" Occasional Height Elba Aluminum Fire Pit",5122-2872O,19,72,28,,,234,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5122-2872O-Elba.pdf,https://www.owlee.com/collections/casual-fireside/28x72-occasional-height-elba-aluminum-fire-pit-casual-fireside-elba/,
