item_number,product_name,collection_name,image_count,overall_width,overall_depth,overall_height,diameter,product_weight,seat_height,arm_height,reclined_length,retail_warranty,contract_warranty,image_1_path,image_1_url,image_2_path,image_2_url,image_3_path,image_3_url,image_4_path,image_4_url
8R60,Stacking Cafe Chair w/ Polymer Accents,Bazza Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/bazza_sling/stacking_cafe_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1021_1.jpg,images/bazza_sling/stacking_cafe_chair_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/1021_2.jpg,,,,
HH60,Swivel Rocker w/ Polymer Accents,Bazza Sling,2,"26""","28.75""","39""",,22 lbs,,,,15 years,1 years,images/bazza_sling/swivel_rocker_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/2241_1.jpg,images/bazza_sling/swivel_rocker_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/2241_2.jpg,,,,
,Arm Chair w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/arm_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1207_1.jpg,,,,,,
9A70,Armless Cafe Chair,Belle Isle Cushion,1,"30.75""","29.5""","38.5""",,24 lbs,,,,15 years,5 years,images/belle_isle_cushion/armless_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/3371_1.jpg,,,,,,
,Cafe Arm Chair w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/cafe_arm_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/3373_1.jpg,,,,,,
Z000,Ottoman,Belle Isle Cushion,1,"24.25""","21""","19""",,11 lbs,,,,15 years,3 years,images/belle_isle_cushion/ottoman/product_1.jpg,https://img.telescopecasual.com/PR/233/1233_1.jpg,,,,,,
,Single-Seat Glider w/ Polymer Accents,Belle Isle Cushion,4,,,,,,,,,,,images/belle_isle_cushion/single_seat_glider_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/3248_1.jpg,images/belle_isle_cushion/single_seat_glider_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/3248_2.jpg,images/belle_isle_cushion/single_seat_glider_w_polymer_accents/product_3.jpg,https://img.telescopecasual.com/PR/233/3248_3.jpg,images/belle_isle_cushion/single_seat_glider_w_polymer_accents/product_4.jpg,https://img.telescopecasual.com/PR/233/3248_4.jpg
,Supreme Adjustable Back Chair w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/supreme_adjustable_back_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1815_1.jpg,,,,,,
,Supreme Single-Seat Glider w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/supreme_single_seat_glider_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/3375_1.jpg,,,,,,
,Supreme Swivel Rocker w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/supreme_swivel_rocker_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1865_1.jpg,,,,,,
,Swivel Rocker w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/swivel_rocker_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1212_1.jpg,,,,,,
,Three-Seat Sofa w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/three_seat_sofa_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1795_1.jpg,,,,,,
,Two-Seat Glider w/ Polymer Accents,Belle Isle Cushion,1,,,,,,,,,,,images/belle_isle_cushion/two_seat_glider_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1224_1.jpg,,,,,,
Z090,Arm Chair w/ Polymer Accents,Belle Isle Sling,1,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/arm_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1352_1.jpg,,,,,,
Z090,Balcony Height  Swivel Arm Chair w/ Polymer Accents,Belle Isle Sling,2,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/balcony_height_swivel_arm_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/2818_1.jpg,images/belle_isle_sling/balcony_height_swivel_arm_chair_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/2818_2.jpg,,,,
Z090,Bar Height Swivel Arm Chair w/ Polymer Accents,Belle Isle Sling,2,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/bar_height_swivel_arm_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/2820_1.jpg,images/belle_isle_sling/bar_height_swivel_arm_chair_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/2820_2.jpg,,,,
7R30,Four Position Lay-flat Chaise w/ Polymer Accents,Belle Isle Sling,2,"27""","69""","43""",,21.25 lbs,,,"78""",15 years,5 years,images/belle_isle_sling/four_position_lay_flat_chaise_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1478_1.jpg,images/belle_isle_sling/four_position_lay_flat_chaise_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/1478_2.jpg,,,,
Z090,Hidden Motion Chat Chair w/ Polymer Accents,Belle Isle Sling,1,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/hidden_motion_chat_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1605_1.jpg,,,,,,
,Ottoman,Belle Isle Sling,1,,,,,,,,,,,images/belle_isle_sling/ottoman/product_1.jpg,https://img.telescopecasual.com/PR/233/1515_1.jpg,,,,,,
Z090,Single-Seat Glider w/ Polymer Accents,Belle Isle Sling,4,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/single_seat_glider_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/3266_1.jpg,images/belle_isle_sling/single_seat_glider_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/3266_2.jpg,images/belle_isle_sling/single_seat_glider_w_polymer_accents/product_3.jpg,https://img.telescopecasual.com/PR/233/3266_3.jpg,images/belle_isle_sling/single_seat_glider_w_polymer_accents/product_4.jpg,https://img.telescopecasual.com/PR/233/3266_4.jpg
Z090,Supreme Arm Chair w/ Polymer Accents,Belle Isle Sling,1,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/supreme_arm_chair_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1390_1.jpg,,,,,,
Z090,Supreme Single-Seat Glider w/ Polymer Accents,Belle Isle Sling,1,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/supreme_single_seat_glider_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/3403_1.jpg,,,,,,
Z060,Supreme Swivel Rocker w/ Polymer Accents,Belle Isle Sling,1,"26.5""","26""","36""",,20 lbs,,,,15 years,1 years,images/belle_isle_sling/supreme_swivel_rocker_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1376_1.jpg,,,,,,
Z060,Swivel Rocker w/ Polymer Accents,Belle Isle Sling,1,"26.5""","26""","36""",,20 lbs,,,,15 years,1 years,images/belle_isle_sling/swivel_rocker_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1365_1.jpg,,,,,,
Z090,Three-Seat Sofa w/ Polymer Accents,Belle Isle Sling,2,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/three_seat_sofa_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/2822_1.jpg,images/belle_isle_sling/three_seat_sofa_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/2822_2.jpg,,,,
Z090,Two-Seat Glider w/ Polymer Accents,Belle Isle Sling,2,"26.5""","26.5""","47.5""",,17 lbs,,,,15 years,5 years,images/belle_isle_sling/two_seat_glider_w_polymer_accents/product_1.jpg,https://img.telescopecasual.com/PR/233/1791_1.jpg,images/belle_isle_sling/two_seat_glider_w_polymer_accents/product_2.jpg,https://img.telescopecasual.com/PR/233/1791_2.jpg,,,,
1P80,"17 1/2"" Square Side Table",Cascade MGP Tables,1,"64""","66.25""","29""",,120 lbs,,,,15 years,5 years,images/cascade_mgp_top_table/17_1_2_square_side_table/product_1.jpg,https://img.telescopecasual.com/PR/233/3562_1.jpg,,,,,,
1P80,"17"" Square End Table",Cascade MGP Tables,1,"64""","66.25""","29""",,120 lbs,,,,15 years,5 years,images/cascade_mgp_top_table/17_square_end_table/product_1.jpg,https://img.telescopecasual.com/PR/233/3561_1.jpg,,,,,,
1P80,"18"" Round  End Table",Cascade MGP Tables,1,"64""","66.25""","29""",,120 lbs,,,,15 years,5 years,images/cascade_mgp_top_table/18_round_end_table/product_1.jpg,https://img.telescopecasual.com/PR/233/3560_1.jpg,,,,,,
1P80,"18"" Square End Table",Cascade MGP Tables,1,"64""","66.25""","29""",,120 lbs,,,,15 years,5 years,images/cascade_mgp_top_table/18_square_end_table/product_1.jpg,https://img.telescopecasual.com/PR/233/3559_1.jpg,,,,,,
,"30"" Round Balcony ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/30_round_balcony_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3474_1.jpg,,,,,,
,"30"" Round Balcony Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/30_round_balcony_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3470_1.jpg,,,,,,
,"30"" Round Bar ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/30_round_bar_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3475_1.jpg,,,,,,
,"30"" Round Bar Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/30_round_bar_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3471_1.jpg,,,,,,
,"30"" Round Dining ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/30_round_dining_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3473_1.jpg,,,,,,
,"30"" Round Dining Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/30_round_dining_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3469_1.jpg,,,,,,
,"30"" Round End Table Height ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/30_round_end_table_height_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3472_1.jpg,,,,,,
,"36"" Square Balcony ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/36_square_balcony_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3485_1.jpg,,,,,,
,"36"" Square Balcony Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/36_square_balcony_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3481_1.jpg,,,,,,
,"36"" Square Bar ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/36_square_bar_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3486_1.jpg,,,,,,
,"36"" Square Bar Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/36_square_bar_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3482_1.jpg,,,,,,
,"36"" Square Dining ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/36_square_dining_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3484_1.jpg,,,,,,
,"36"" Square Dining Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/36_square_dining_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3480_1.jpg,,,,,,
,"36"" Square End Table Height ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/36_square_end_table_height_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3483_1.jpg,,,,,,
,"42"" Round Balcony ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/42_round_balcony_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3496_1.jpg,,,,,,
,"42"" Round Balcony Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/42_round_balcony_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3492_1.jpg,,,,,,
,"42"" Round Bar ""X"" Pedestal Table w/ hole",Cascade MGP Tables,1,,,,,,,,,,,images/cascade_mgp_top_table/42_round_bar_x_pedestal_table_w_hole/product_1.jpg,https://img.telescopecasual.com/PR/233/3497_1.jpg,,,,,,
