table_top_sku,base_sku
#E-4272RTD,9-DT07
#E-4272RTUD,DT07-BASE
#E-4272RTUD,AT-DT07
#E-4272RTUD,MA-DT07
#E-4272RTUD,PA-DT07
#E-4272RTUD,37-DT07
#E-4272RTUD,9-DT07
#E-4284RTD,DT07-BASE
#E-4284RTD,AT-DT07
#E-4284RTD,MA-DT07
#E-4284RTD,PA-DT07
#E-4284RTD,37-DT07
#E-4284RTD,9-DT07
#E-4284RTUD,DT07-BASE
#E-4284RTUD,AT-DT07
#E-4284RTUD,MA-DT07
#E-4284RTUD,PA-DT07
#E-4284RTUD,37-DT07
#E-4284RTUD,9-DT07
#E-42120RTD,AT-DT10
#E-42120RTD,MA-DT10
#E-24SQD,ST01-BASE
#E-24SQD,DT01-BASE
#E-24SQD,CT01-BASE
#E-24SQD,BT01-BASE
#E-24SQD,AT-DT01
#E-24SQD,AT-CT01
#E-24SQD,MA-ST01
#E-24SQD,37-ST01
#E-24SQD,9-ST01
#E-36SQD,OT03-BASE
#E-36SQD,DT03-BASE
#E-36SQD,CT03-BASE
#E-36SQD,BT03-BASE
#E-36SQD,AT-DT03
#E-36SQD,AT-CT03
#E-36SQD,MA-OT03
#E-36SQD,MA-DT03
#E-36SQD,MA-CT03
#E-36SQD,MA-BT03
#E-36SQD,37-DT03
#E-36SQD,9-DT03
#E-42SQD,OT03-BASE
#E-42SQD,DT03-BASE
#E-42SQD,CT03-BASE
#E-42SQD,BT03-BASE
#E-42SQD,AT-DT03
#E-42SQD,AT-CT03
#E-42SQD,MA-OT03
#E-42SQD,MA-DT03
#E-42SQD,MA-CT03
#E-42SQD,MA-BT03
#E-42SQD,37-DT03
#E-42SQD,9-DT03
#E-42SQUD,OT03-BASE
#E-42SQUD,DT03-BASE
#E-42SQUD,CT03-BASE
#E-42SQUD,BT03-BASE
#E-42SQUD,AT-DT03
#E-42SQUD,AT-CT03
#E-42SQUD,MA-OT03
#E-42SQUD,MA-DT03
#E-42SQUD,MA-CT03
#E-42SQUD,MA-BT03
#E-42SQUD,37-DT03
#E-42SQUD,9-DT03
#W-24D,ST01-BASE
#W-24D,DT01-BASE
#W-24D,CT01-BASE
#W-24D,BT01-BASE
#W-24D,AT-DT01
#W-24D,AT-CT01
#W-24D,MA-ST01
#W-24D,37-ST01
#W-24D,9-ST01
#W-30D,ST01-BASE
#W-30D,DT01-BASE
#W-30D,CT01-BASE
#W-30D,BT01-BASE
#W-30D,AT-DT01
#W-30D,AT-CT01
#W-30D,MA-ST01
#W-30D,37-ST01
#W-30D,9-ST01
#W-42D,OT03-BASE
#W-42D,DT03-BASE
#W-42D,CT03-BASE
#W-42D,BT03-BASE
#W-42D,AT-DT03
#W-42D,AT-CT03
#W-42D,MA-OT03
#W-42D,MA-DT03
#W-42D,MA-CT03
#W-42D,MA-BT03
#W-42D,37-DT03
#W-42D,9-DT03
#W-42UD,OT03-BASE
#W-42UD,DT03-BASE
#W-42UD,CT03-BASE
#W-42UD,BT03-BASE
#W-42UD,AT-DT03
#W-42UD,AT-CT03
#W-42UD,MA-OT03
#W-42UD,MA-DT03
#W-42UD,MA-CT03
#W-42UD,MA-BT03
#W-42UD,37-DT03
#W-42UD,9-DT03
#W-54D,DT03-BASE
#W-54D,AT-DT03
#W-54D,MA-DT03
#W-54D,37-DT03
#W-54D,9-DT03
#W-54UD,DT03-BASE
#W-54UD,AT-DT03
#W-54UD,MA-DT03
#W-54UD,37-DT03
#W-54UD,9-DT03
#W-2850RTD,OT05-BASE
#W-2850RTD,DT05-BASE
#W-2850RTD,MA-OT05
#W-2850RTD,MA-CT05
#W-2850RTD,MA-BT05
#W-2850RTD,37-OT05
#W-2850RTD,9-OT05
#W-3658RTD,OT05-BASE
#W-3658RTD,DT05-BASE
#W-3658RTD,MA-OT05
#W-3658RTD,MA-CT05
#W-3658RTD,MA-BT05
#W-3658RTD,37-OT05
#W-3658RTD,9-OT05
#W-3658RTUD,OT05-BASE
#W-3658RTUD,DT05-BASE
#W-3658RTUD,MA-OT05
#W-3658RTUD,MA-CT05
#W-3658RTUD,MA-BT05
#W-3658RTUD,37-OT05
#W-3658RTUD,9-OT05
#W-4272RTD,DT07-BASE
#W-4272RTD,AT-DT07
#W-4272RTD,MA-DT07
#W-4272RTD,PA-DT07
#W-4272RTD,37-DT07
#W-4272RTD,9-DT07
#W-4272RTUD,DT07-BASE
#W-4272RTUD,AT-DT07
#W-4272RTUD,MA-DT07
#W-4272RTUD,PA-DT07
#W-4272RTUD,37-DT07
#W-4272RTUD,9-DT07
#W-4284RTD,DT07-BASE
#W-4284RTD,AT-DT07
#W-4284RTD,MA-DT07
#W-4284RTD,PA-DT07
#W-4284RTD,37-DT07
#W-4284RTD,9-DT07
#W-4284RTUD,DT07-BASE
#W-4284RTUD,AT-DT07
#W-4284RTUD,MA-DT07
#W-4284RTUD,PA-DT07
#W-4284RTUD,37-DT07
#W-4284RTUD,9-DT07
#W-42120RTD,AT-DT10
#W-42120RTD,MA-DT10
#W-24SQD,ST01-BASE
#W-24SQD,DT01-BASE
#W-24SQD,CT01-BASE
#W-24SQD,BT01-BASE
#W-24SQD,AT-DT01
#W-24SQD,AT-CT01
