name,sku,collection,category,width,depth,height,seat_height,arm_height,fabrics,finishes,frame_materials,additional_colors,description,tags,image_url,url
Cube Table,CU02-WHITESTOCK-0000,CUBE,Coffee Side Tables,40cm/16,40cm/16,,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute lttle table to keep close to handContract-grade welded aluminum frameTiger brand powder coating frame | A cute lttle table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame,,https://america.couturejardin.com/wp-content/uploads/2021/05/cu02-white-873x675px.jpg,https://america.couturejardin.com/product/cube-table/
Cube Table Greige,CU02-GREIGSTOCK-0000,CUBE,Coffee Side Tables,40cm/16,40cm/16,,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute lttle table to keep close to handContract-grade welded aluminum frameTiger brand powder coating frame | A cute lttle table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame,,https://america.couturejardin.com/wp-content/uploads/2021/05/cu02greige-873x675px.jpg,https://america.couturejardin.com/product/cube-table-greige/
Sky Coffee Table Anthracite,SK04-ANTHRSTOCK-0000,SKY,Coffee Side Tables,60cm/23.6,110cm/43.3,40cm/15.7,,,,"Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL table top,sky,https://america.couturejardin.com/wp-content/uploads/2023/11/sky-categories-banner-01.jpg,https://america.couturejardin.com/product/sky-coffee-table-anthracite/
Lounge Oval Coffee Table,LG04-OAK00STOCK-0000,LOUNGE,Coffee Side Tables,71cm/28,137cm/54,31cm/12,,,,,"welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL table top,Lounge,https://america.couturejardin.com/wp-content/uploads/2024/06/lounge-oval-coffee-table-sku-lg04.jpg,https://america.couturejardin.com/product/lounge-oval-coffee-table/
Play Ottoman,PY09-OAK00STOCK-0000,PLAY,Coffee Side Tables,84cm/33,84cm/33,38cm/15,,,"foam, UV treated, acrylic fabric, COUTUREtex, waterproof",,"welded, aluminum, powder coating",,"Contract-grade welded aluminum frame | Tiger brand powder coating | High density foam | UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treated",Play,https://america.couturejardin.com/wp-content/uploads/2024/06/play-ottoman-sku-py09.jpg,https://america.couturejardin.com/product/play-ottoman/
Diva Coffee Table,DI09-ANTRSTCK00-0000,DIVA,Coffee Side Tables,90cm/35,55cm/22,36cm/14,,,,"Chaise Lounge Seat/Back Dark grey, Cushion Canvas granite, Frame Anthracite, Table Top Ceramic-Coated Glass, Top Ceramic-coated glass, Weaving Anthracite","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top,,https://america.couturejardin.com/wp-content/uploads/2021/05/Diva_19.jpg,https://america.couturejardin.com/product/diva-coffee-table/
Sky Coffee Table Oak,SK04-OAK00STOCK-0000,SKY,Coffee Side Tables,60cm/23.6,110cm/43.3,40cm/15.7,,,,"Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL table top,sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk04-o-1.jpg,https://america.couturejardin.com/product/sky-coffee-table-oak/
Sky Coffee Table White,SK04-WHITESTOCK-0000,SKY,Coffee Side Tables,60cm/23.6,110cm/43.3,40cm/15.7,,,,"Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL table top,sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk04-w-1.jpg,https://america.couturejardin.com/product/sky-coffee-table-white/
Lounge Side Coffee Table,LG02-OAK00STOCK-0000,LOUNGE,Coffee Side Tables,30cm/11.8,64cm/25,16cm/6.3,,,,,"welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating | HPL table top,Lounge,https://america.couturejardin.com/wp-content/uploads/2024/06/lg02-873x675px.jpg,https://america.couturejardin.com/product/lounge-side-coffee-table/
Dj Side Table Greige High,DJ02-GREIGSTOCK-0000,DJ,Coffee Side Tables,,50cm/20,50cm/20,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,A cute little table to keep close to hand | Contract-grade welded aluminum frame | Tiger brand powder coating frame | ,,https://america.couturejardin.com/wp-content/uploads/2024/06/dj02-greige-1.jpg,https://america.couturejardin.com/product/dj-side-table-greige-high/
