model_number,product_name,category,subcategory,size,available_finishes,finish_skus,vent_type,sunbrella_a_msrp,sunbrella_a_sale,sunbrella_b_msrp,sunbrella_b_sale,sunbrella_c_msrp,sunbrella_c_sale,sunbrella_d_msrp,sunbrella_d_sale,single_item_msrp,single_item_sale,notes
FRAME-ALU-762,Replacement Frame Aluminum - 762 6x6',Replacement Parts,Replacement Frames - Aluminum,6x6',"AB, SR",,,,,,,,,,,570,428,
FRAME-ALU-722,Replacement Frame Aluminum - 722 7.5',Replacement Parts,Replacement Frames - Aluminum,7.5',"AB, BK, SR",,,,,,,,,,,635,476,
FRAME-ALU-732,Replacement Frame Aluminum - 732 9',Replacement Parts,Replacement Frames - Aluminum,9',"AB, BK, SR",,,,,,,,,,,690,518,
FRAME-ALU-781,Replacement Frame Aluminum - 781 11',Replacement Parts,Replacement Frames - Aluminum,11',SR,,,,,,,,,,,760,570,
FRAME-ALU-782,Replacement Frame Aluminum - 782 8x8',Replacement Parts,Replacement Frames - Aluminum,8x8',SR,,,,,,,,,,,690,518,
FRAME-ALU-792,Replacement Frame Aluminum - 792 10x10',Replacement Parts,Replacement Frames - Aluminum,10x10',SR,,,,,,,,,,,760,570,
FRAME-ALU-791,Replacement Frame Aluminum - 791 13',Replacement Parts,Replacement Frames - Aluminum,13',SR,,,,,,,,,,,880,660,
FRAME-ALU-715AB,Replacement Frame Aluminum - 715AB 6',Replacement Parts,Replacement Frames - Aluminum,6',AB,,,,,,,,,,,400,300,
FRAME-ALU-725,Replacement Frame Aluminum - 725 7.5',Replacement Parts,Replacement Frames - Aluminum,7.5',"AB, BK, W",,,,,,,,,,,430,322,
FRAME-ALU-735,Replacement Frame Aluminum - 735 9',Replacement Parts,Replacement Frames - Aluminum,9',"AB, BK, W",,,,,,,,,,,480,360,
FRAME-ALU-772,Replacement Frame Aluminum - 772 3.5x7',Replacement Parts,Replacement Frames - Aluminum,3.5x7',AB,,,,,,,,,,,450,338,
FRAME-ALU-887,Replacement Frame Aluminum - 887 11',Replacement Parts,Replacement Frames - Aluminum,11',"AB, BK",,,,,,,,,,,2200,1650,
FRAME-ALU-899,Replacement Frame Aluminum - 899 13',Replacement Parts,Replacement Frames - Aluminum,13',"AB, BK",,,,,,,,,,,3100,2325,
FRAME-ALU-897,Replacement Frame Aluminum - 897 10x10',Replacement Parts,Replacement Frames - Aluminum,10x10',"AB, BK",,,,,,,,,,,2200,1650,
FRAME-ALU-887-897-899-BASE,Replacement Frame Aluminum - 887-897-899-BASE ,Replacement Parts,Replacement Frames - Aluminum,,"AB, BK",,,,,,,,,,,1050,788,
FRAME-WD-121,Replacement Frame Wood - 121 7.5',Replacement Parts,Replacement Frames - Wood,7.5',Light Wood,,,,,,,,,,,340,255,
FRAME-WD-221,Replacement Frame Wood - 221 7.5',Replacement Parts,Replacement Frames - Wood,7.5',Dark Wood,,,,,,,,,,,340,255,
FRAME-WD-131,Replacement Frame Wood - 131 9',Replacement Parts,Replacement Frames - Wood,9',Light Wood,,,,,,,,,,,350,262,
FRAME-WD-132,Replacement Frame Wood - 132 9',Replacement Parts,Replacement Frames - Wood,9',Light Wood,,,,,,,,,,,400,300,
FRAME-WD-232,Replacement Frame Wood - 232 9',Replacement Parts,Replacement Frames - Wood,9',Dark Wood,,,,,,,,,,,400,300,
FRAME-WD-136,Replacement Frame Wood - 136 9',Replacement Parts,Replacement Frames - Wood,9',Light Wood,,,,,,,,,,,400,300,
FRAME-WD-183,Replacement Frame Wood - 183 11',Replacement Parts,Replacement Frames - Wood,11',Light Wood,,,,,,,,,,,650,488,
FRAME-WD-531,Replacement Frame Wood - 531 9',Replacement Parts,Replacement Frames - Wood,9',Teak Wood,,,,,,,,,,,800,600,
FRAME-WD-532,Replacement Frame Wood - 532 9',Replacement Parts,Replacement Frames - Wood,9',Teak Wood,,,,,,,,,,,900,675,
FRAME-WD-537,Replacement Frame Wood - 537 9',Replacement Parts,Replacement Frames - Wood,9',Teak Wood,,,,,,,,,,,900,675,
FRAME-WD-587,Replacement Frame Wood - 587 11',Replacement Parts,Replacement Frames - Wood,11',Teak Wood,,,,,,,,,,,1200,900,
