SKU,Product_Name,MSRP,Sale_Price
PFC741,Protective Cover X-Large Lounge Chair,115.0,86.25
PFC720,Protective Cover Loveseat,102.0,76.5
PFC722,Protective Cover Large Loveseat,140.0,105.0
PFC742,Protective Cover X-Large Loveseat,168.0,126.0
PFC723,Protective Cover Sofa,157.0,117.75
PFC733,Protective Cover Large Sofa,180.0,135.0
PFC743,Protective Cover X-Large Sofa,194.0,145.5
PFC753,Protective Cover Curved Sofa,181.0,135.75
PFC901,Protective Cover Umbrella,46.0,34.5
PFC902,Protective Cover Large Umbrella,52.0,39.0
PFC910,Protective Cover X-Large Umbrella,74.0,55.5
PFC912,Protective Cover Cantilever Style,74.0,55.5
PFC955,Protective Cover Large Cantilever Style,83.0,62.25
PFC920,Protective Cover X-Large Cantilever Style,91.0,68.25
C813RD,Replacement Canopy Cantilever DWV - 13' Octagon,1730.0,1297.5
CAKZRT,Replacement Canopy Cantilever SWV - 10'x13' Rectangle,1640.0,1230.0
C812SQ,Replacement Canopy Cantilever SWV - 11.5'x11.5' Square,1630.0,1222.5
C811RD,Replacement Canopy Cantilever DWV - 11' Octagon,1405.0,1053.75
CAG25RD,Replacement Canopy Cantilever DWV - 11.5' AG25,1675.0,1256.25
CAG25SQR,Replacement Canopy Cantilever SWV - 10'x10' AG25SQ,1545.0,1158.75
CAG25-10RD,Replacement Canopy Cantilever DWV - 10' AG25,1530.0,1147.5
CAG19A,Replacement Canopy Cantilever SWV - AG19A,795.0,596.25
CET3RT,Replacement Canopy Specialty SWV - 10'x13' Easy Track,1545.0,1158.75
CET310,Replacement Canopy Specialty SWV - 10' Easy Track,1100.0,825.0
C8511,Replacement Canopy Market SWV - 11' Twist,750.0,562.5
C8509,Replacement Canopy Market SWV - 9' Twist,495.0,371.25
C811,Replacement Canopy Market SWV - 11' Collar Tilt,750.0,562.5
C811D,Replacement Canopy Market DWV - 11' Collar Tilt,840.0,630.0
C809,Replacement Canopy Market SWV - 9' Collar Tilt,495.0,371.25
C809D,Replacement Canopy Market DWV - 9' Collar Tilt,540.0,405.0
C807,Replacement Canopy Market SWV - 7.5',365.0,273.75
C8411,Replacement Canopy Market SWV - 11' Flex,750.0,562.5
C8411D,Replacement Canopy Market DWV - 11' Flex,840.0,630.0
C8409,Replacement Canopy Market SWV - 9' Flex,495.0,371.25
C8409D,Replacement Canopy Market DWV - 9' Flex,540.0,405.0
C847SQ,Replacement Canopy Market SWV - 7.5'x7.5' Flex,530.0,397.5
C8810,Replacement Canopy Market SWV - 8'x10' Auto Tilt,610.0,457.5
C8811,Replacement Canopy Market SWV - 8'x11' (Discontinued),665.0,498.75
FABRIC-YARD-A,Fabric by the Yard Grade A,105.0,78.75
FRAME-AKZP13LX,Replacement Frame AKZP13LX - 00/09,2080.0,1560.0
FRAME-AKZPRTLX,Replacement Frame AKZPRTLX - 00/09,2120.0,1590.0
FRAME-AKZP13-SSWO,Replacement Frame AKZP13 - SS/WO,1960.0,1470.0
FRAME-AKZP13-00,Replacement Frame AKZP13 - 00/02/09,1805.0,1353.75
FRAME-AKZPRT-SSWO,Replacement Frame AKZPRT - SS/WO,1995.0,1496.25
FRAME-AKZPRT-00,Replacement Frame AKZPRT - 00/02/09,1910.0,1432.5
FRAME-AKZPSQ11,Replacement Frame AKZPSQ11 - 00/09,1745.0,1308.75
FRAME-AKZP,Replacement Frame AKZP - 00/02/09,1620.0,1215.0
FRAME-AG25TR,Replacement Frame AG25TR - 00/09,1100.0,825.0
FRAME-AG25TSQR,Replacement Frame AG25TSQR - 00/09,1115.0,836.25
FRAME-AG25TR10,Replacement Frame AG25TR10 - 00/09,1075.0,806.25
FRAME-ET3RT,Replacement Frame ET3RT - 00/09,1010.0,757.5
FRAME-ET310,Replacement Frame ET310 - 00/09,740.0,555.0
FRAME-USA45,Replacement Frame USA45 - 09,330.0,247.5
FRAME-UM851,Replacement Frame UM851 - 02/03,565.0,423.75
FRAME-UM850,Replacement Frame UM850 - 02/03,555.0,416.25
FRAME-UM800LX,Replacement Frame UM800LX - 00/09,875.0,656.25
FRAME-UM801,Replacement Frame UM801 - 00/09,480.0,360.0
FRAME-UM800,Replacement Frame UM800 - 00/09,430.0,322.5
FRAME-UM841-SS,Replacement Frame UM841 - Silver Shadow,520.0,390.0
FRAME-UM841-00,Replacement Frame UM841 - 00/09,465.0,348.75
FRAME-UM840-SS,Replacement Frame UM840 - Silver Shadow,460.0,345.0
FRAME-UM840-00,Replacement Frame UM840 - 00/09,415.0,311.25
FRAME-UM847SQ-SS,Replacement Frame UM847SQ - Silver Shadow,410.0,307.5
