suggested_bucket,decision,manufacturer,collection,category,sku,name,msrp,sale_price,images,quote_only,show_price_online,id
REVIEW,,Homecrest,Medley,Dining,254284FHDNU,"Medley Dining Table Rectangle 42""x84"" Post Base No Hole",,,3,True,False,6231
REVIEW,,Homecrest,Medley,Bar,2542SBHD,"Medley Balcony Table Square 42"" Post Base (with hole)",,,3,True,False,4292
REVIEW,,Homecrest,Medley,Bar,2542SBHDNU,"Medley Balcony Table Square 42"" Post Base No Hole",,,3,True,False,6232
REVIEW,,Homecrest,Medley,Dining,2542SFHD,"Medley Dining Table Square 42"" Post Base",,,3,True,False,6228
REVIEW,,Homecrest,Medley,Dining,2542SFHDNU,"Medley Dining Table Square 42"" Post Base No Hole",,,3,True,False,6229
REVIEW,,Homecrest,Medley,Tables,2721SHD,"Medley Side Table Square 25"" Trestle Base (no hole)",,,3,True,False,4289
REVIEW,,Homecrest,Medley,Tables,2722SHD,"Medley End Table Square 25"" Trestle Base (no hole)",,,3,True,False,4290
REVIEW,,Homecrest,Medley,Dining,274284FHD,"Medley Dining Table Rectangle 42""x84"" Trestle Base (with hole)",,,3,True,False,4293
REVIEW,,Homecrest,Medley,Dining,274284FHDNU,"Medley Dining Table Rectangle 42""x84"" Trestle Base No Hole",,,3,True,False,6227
REVIEW,,Homecrest,Medley,Dining,2742SFHD,"Medley Dining Table Square 42"" Trestle Base (with hole)",,,3,True,False,4291
REVIEW,,Homecrest,Medley,Dining,2742SFHDNU,"Medley Dining Table Square 42"" Trestle Base No Hole",,,3,True,False,6226
REVIEW,,Homecrest,Medley,Tables,C2644XHD+272644B,"Medley Coffee Table Rectangle 26""x44"" Trestle Base",,,3,True,False,6222
REVIEW,,Homecrest,Medley,Tables,C3252XHD+273252B,"Medley Coffee Table Rectangle 32""x52"" Trestle Base",,,3,True,False,6223
REVIEW,,Homecrest,Medley,Tables,C3660XHD+273660B,"Medley Coffee Table Rectangle 36""x60"" Trestle Base",,,3,True,False,6224
REVIEW,,Homecrest,Medley,Tables,C4242SHD+2742SB,"Medley Coffee Table Square 42"" Trestle Base",,,3,True,False,6225
REVIEW,,Homecrest,Mesh,Dining,1930R+2330B,"Mesh Round Dining Table 30"" with Hole",,,2,True,False,6139
REVIEW,,Homecrest,Mesh,Bar,1930R+2334B,"Mesh Round Balcony Table 30"" with Hole",,,2,True,False,6141
REVIEW,,Homecrest,Mesh,Bar,1930R+2340B,"Mesh Round Bar Table 30"" with Hole",,,2,True,False,6143
REVIEW,,Homecrest,Mesh,Dining,1930RNU+2330B,"Mesh Round Dining Table 30"" no Hole",,,2,True,False,6140
REVIEW,,Homecrest,Mesh,Bar,1930RNU+2334B,"Mesh Round Balcony Table 30"" no Hole",,,2,True,False,6142
REVIEW,,Homecrest,Mesh,Bar,1930RNU+2340B,"Mesh Round Bar Table 30"" no Hole",,,2,True,False,6144
REVIEW,,Homecrest,Mesh,Dining,1936R+2330B,"Mesh Round Dining Table 36"" with Hole",,,2,True,False,6145
REVIEW,,Homecrest,Mesh,Bar,1936R+2334B,"Mesh Round Balcony Table 36"" with Hole",,,2,True,False,6147
REVIEW,,Homecrest,Mesh,Bar,1936R+2340B,"Mesh Round Bar Table 36"" with Hole",,,2,True,False,6149
REVIEW,,Homecrest,Mesh,Dining,1936RNU+2330B,"Mesh Round Dining Table 36"" no Hole",,,2,True,False,6146
REVIEW,,Homecrest,Mesh,Bar,1936RNU+2334B,"Mesh Round Balcony Table 36"" no Hole",,,2,True,False,6148
REVIEW,,Homecrest,Mesh,Bar,1936RNU+2340B,"Mesh Round Bar Table 36"" no Hole",,,2,True,False,6150
REVIEW,,Homecrest,Mode,Accessories,006086,"Mode 15.5"" x 28.5"" Glass Guard",,,1,True,False,6126
REVIEW,,Homecrest,Mode,Tables,1310020,"Mode 35.5"" x 23"" Trapezoid End Table",,,1,True,False,3967
REVIEW,,Homecrest,Mode,Tables,13220,"Mode 22"" Square End Table",,,1,True,False,4194
REVIEW,,Homecrest,Mode,Tables,132244,"Mode 22"" x 44"" Rectangle Coffee Table",,,1,True,False,4195
