type,category,item_number,name,grade,restriction,current_db_status
fabric,Cushion,167,Nurture Indigo,C,,absent - NEW create
fabric,Cushion,174,Nurture White,C,not on Acrylic Padded Sling,absent - NEW create
fabric,Cushion,184,Lively Sage,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,192,Koto Clay,C,,absent - NEW create
fabric,Cushion,196,Remix Mesa,A,,absent - NEW create
fabric,Cushion,197,Remix Camel,A,,absent - NEW create
fabric,Cushion,198,Mainstreet Putty,D,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,212,Dream Dune,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,251,Nurture Haze,C,,absent - NEW create
fabric,Cushion,280,Conte Linen,D,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,286,Kismet Teak,B,,absent - NEW create
fabric,Cushion,290,Kismet Wren,B,,absent - NEW create
fabric,Cushion,293,Mainstreet Dove,D,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,462,Sahara,C,,absent - NEW create
fabric,Cushion,497,Marvel Mushroom,A,,absent - NEW create
fabric,Cushion,591,Hither Twilight,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,593,Relate Harbor,A,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,594,Restore Indigo,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,595,Ally Coastal,C,,absent - NEW create
fabric,Cushion,656,Copeland Chambray,B,,absent - NEW create
fabric,Cushion,658,Tabloid Cloud,B,,absent - NEW create
fabric,Cushion,661,Atmosphere Mineral,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,664,Charter Silk,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,667,Santara Mist,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,672,Proven Denim,B,,absent - NEW create
fabric,Cushion,693,Agra Classic,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,694,Proven Ash,B,,absent - NEW create
fabric,Cushion,696,Sensory Granite,B,,absent - NEW create
fabric,Cushion,699,Sensory Dove,B,,absent - NEW create
fabric,Cushion,764,Detail Denim,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,766,Fresco Ash,A,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,767,Dreamscape Seaglass,C,,absent - NEW create
fabric,Cushion,769,Detail Linen,C,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,771,Remy Dove,A,,absent - NEW create
fabric,Cushion,774,Hither Parchment,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,775,Bliss Linen,A,,absent - NEW create
fabric,Cushion,779,Illusion Plaid Birch,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,783,Grasscloth Buff,A,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,784,Thatch Ash,B,,absent - NEW create
fabric,Cushion,785,Hither Pewter,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,791,Grasscloth Dune,A,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,798,Bliss Sand,A,,absent - NEW create
fabric,Cushion,848,Salt,C,,absent - NEW create
fabric,Cushion,849,Dazzle,C,,absent - NEW create
fabric,Cushion,879,Illusion Plaid Onyx,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,885,Hither Char,B,,absent - NEW create
fabric,Cushion,893,Bliss Dew,A,,absent - NEW create
fabric,Cushion,924,Huskie,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,963,Blend Indigo,B,,absent - NEW create
fabric,Cushion,967,Glimpse Cloud,B,,absent - NEW create
fabric,Cushion,971,Cabana Classic,B,not on ADSC Chateau Double Seat Cushion,absent - NEW create
fabric,Cushion,973,Blend Coal,B,,absent - NEW create
fabric,Cushion,984,Blend Sand,B,,absent - NEW create
fabric,Ultraleather,10U,Coast Raindrop,F,not on Umbrellas,in finishes (misfiled) - migrate to fabrics
fabric,Ultraleather,11U,Coast Beacon,F,not on Umbrellas,in finishes (misfiled) - migrate to fabrics
fabric,Ultraleather,12U,Coast Savanna,F,not on Umbrellas,in finishes (misfiled) - migrate to fabrics
fabric,Ultraleather,13U,Brisa Mohave,F,not on Umbrellas,in finishes (misfiled) - migrate to fabrics
fabric,Ultraleather,14U,Brisa Chamois,F,not on Umbrellas,in finishes (misfiled) - migrate to fabrics
fabric,Rain,13R,Rain Navy,B,not on Umbrellas,absent - NEW create
fabric,Rain,35R,Rain Cobalt,B,not on Umbrellas,absent - NEW create
fabric,Rain,40R,Rain Cast Silver,B,not on Umbrellas,absent - NEW create
fabric,Rain,42R,Rain Sky,B,not on Umbrellas,absent - NEW create
fabric,Rain,81R,Rain Greystone,B,not on Umbrellas,absent - NEW create
fabric,Rain,86R,Rain Indigo,B,not on Umbrellas,absent - NEW create
fabric,Rain,89R,Rain Cast,B,not on Umbrellas,absent - NEW create
fabric,Rain,90R,Rain Slate,B,not on Umbrellas,absent - NEW create
finish,Strap,066,White Strap,,,in finishes - keep as finish
finish,Strap,057,Snow Smooth Strap,,,in finishes - keep as finish
finish,Strap,0YY,Warm Grey Smooth Strap,,,in finishes - keep as finish
finish,Strap,001,Pebble Strap,,,in finishes - keep as finish
finish,Strap,0FF,Storm Smooth Strap,,,in finishes - keep as finish
finish,Strap,0JJ,Beachwood Smooth Strap,,,in finishes - keep as finish
finish,Strap,0KK,Kona Smooth Strap,,,in finishes - keep as finish
finish,Strap,0RR,Graphite Smooth Strap,,,in finishes - keep as finish
finish,Strap,777,Black Smooth Strap,,,in finishes - keep as finish
finish,Strap,0NN,New Navy Smooth Strap,,,in finishes - keep as finish
finish,Strap,035,Cobalt Strap,,,in finishes - keep as finish
finish,Strap,028,Turquoise Strap,,,in finishes - keep as finish
finish,Strap,042,Forest Green Strap,,,in finishes - keep as finish
finish,MGP,P50,Snow,,,in finishes - keep as finish
finish,MGP,PY0,Warm Grey,,,in finishes - keep as finish
finish,MGP,P60,Desert,,,in finishes - keep as finish
finish,MGP,P40,Beachwood,,,in finishes - keep as finish
finish,MGP,P10,Kona,,,in finishes - keep as finish
finish,MGP,PF0,Storm,,,in finishes - keep as finish
finish,MGP,P30,Classic Graphite,,,in finishes - keep as finish
finish,MGP,P70,Black,,,in finishes - keep as finish
finish,Accent MGP,PH0,Hunter,,available on select items,in finishes - keep as finish
finish,Accent MGP,PC0,Cranberry,,available on select items,in finishes - keep as finish
finish,Accent MGP,PQ0,Aqua,,available on select items,in finishes - keep as finish
finish,Accent MGP,PN0,Navy,,available on select items,in finishes - keep as finish
finish,Powdercoat,W,White,,,in finishes - keep as finish
finish,Powdercoat,6,Snow,,,in finishes - keep as finish
finish,Powdercoat,Y,Warm Grey,,,in finishes - keep as finish
finish,Powdercoat,2,Desert Sand,,,in finishes - keep as finish
