id,sku,current_name,final_name,final_slug,method
3999,952994X,Dining (with Hole),"Bridger 29"" x 94"" Dining (with Hole)",bridger-29-x-94-dining-with-hole,COLLECTION_PLUS_MEASUREMENT
3996,9538S,Dining (with Hole),"Bridger 38"" Dining (with Hole)",bridger-38-dining-with-hole,COLLECTION_PLUS_MEASUREMENT
3997,9546S,Dining (with Hole),"Bridger 45.5"" Dining (with Hole)",bridger-45-5-dining-with-hole,COLLECTION_PLUS_MEASUREMENT
4000,97350,Armless Dining Chair,Capri Armless Dining Chair,capri-armless-dining-chair,COLLECTION_ONLY
4002,97380,Chat Chair,Capri Chat Chair,capri-chat-chair,COLLECTION_ONLY
4001,97370,Dining Chair,Capri Dining Chair,capri-dining-chair,COLLECTION_ONLY
4005,95250,Armless Balcony Stool,Casper Armless Balcony Stool,casper-armless-balcony-stool,COLLECTION_ONLY
4006,95480,Armless Bar Stool,Casper Armless Bar Stool,casper-armless-bar-stool,COLLECTION_ONLY
4004,95380,Armless Chat Chair,Casper Armless Chat Chair,casper-armless-chat-chair,COLLECTION_ONLY
4003,95350,Armless Dining Chair,Casper Armless Dining Chair,casper-armless-dining-chair,COLLECTION_ONLY
4211,1330RMD,Adjustable Table,Mode Club Adjustable Table,mode-club-adjustable-table,COLLECTION_ONLY
4212,132430X,Table Top Only,"Mode Club 24"" x 30"" Table Top Only",mode-club-24-x-30-table-top-only,COLLECTION_PLUS_MEASUREMENT
4215,1342R,Table Top Only,"Mode Club 42"" Table Top Only",mode-club-42-table-top-only,COLLECTION_PLUS_MEASUREMENT
4214,1336R,Table Top Only,"Mode Club 36"" Table Top Only",mode-club-36-table-top-only,COLLECTION_PLUS_MEASUREMENT
4216,1348R,Table Top Only,"Mode Club 48"" Table Top Only",mode-club-48-table-top-only,COLLECTION_PLUS_MEASUREMENT
4213,1330R,Table Top Only,"Mode Club 30"" Table Top Only",mode-club-30-table-top-only,COLLECTION_PLUS_MEASUREMENT
4227,1330RCT,Adjustable Table,Concrete Adjustable Table,concrete-adjustable-table,COLLECTION_ONLY
4232,374262BCT,Balcony Table,"Concrete 42"" x 62"" Balcony Table",concrete-42-x-62-balcony-table,COLLECTION_PLUS_MEASUREMENT
4239,3754RBCT,Balcony Table,"Concrete 54"" Balcony Table",concrete-54-balcony-table,COLLECTION_PLUS_MEASUREMENT
4230,3742RBCT,Balcony Table,"Concrete 42"" Balcony Table",concrete-42-balcony-table,COLLECTION_PLUS_MEASUREMENT
4236,3748RBCT,Balcony Table,"Concrete 48"" Balcony Table",concrete-48-balcony-table,COLLECTION_PLUS_MEASUREMENT
4234,374284BCT,Balcony Table,"Concrete 42"" x 84"" Balcony Table",concrete-42-x-84-balcony-table,COLLECTION_PLUS_MEASUREMENT
4237,3754RCCTNU,Chat Table,"Concrete 54"" Chat Table",concrete-54-chat-table,COLLECTION_PLUS_MEASUREMENT
4228,3742RCCTNU,Chat Table,"Concrete 42"" Chat Table",concrete-42-chat-table,COLLECTION_PLUS_MEASUREMENT
4233,374284FCT,Dining Table,"Concrete 42"" x 84"" Dining Table",concrete-42-x-84-dining-table,COLLECTION_PLUS_MEASUREMENT
4231,374262FCT,Dining Table,"Concrete 42"" x 62"" Dining Table",concrete-42-x-62-dining-table,COLLECTION_PLUS_MEASUREMENT
4235,3748RFCT,Dining Table,"Concrete 48"" Dining Table",concrete-48-dining-table,COLLECTION_PLUS_MEASUREMENT
4238,3754RFCT,Dining Table,"Concrete 54"" Dining Table",concrete-54-dining-table,COLLECTION_PLUS_MEASUREMENT
4229,3742RFCT,Dining Table,"Concrete 42"" Dining Table",concrete-42-dining-table,COLLECTION_PLUS_MEASUREMENT
4226,3723RCT,End Table,Concrete End Table,concrete-end-table,COLLECTION_ONLY
4245,C3660XCT,Rectangular Table Top Only,"Concrete 36"" x 60"" Rectangular Table Top Only",concrete-36-x-60-rectangular-table-top-only,COLLECTION_PLUS_MEASUREMENT
4243,C3252XCT,Rectangular Table Top Only,"Concrete 32"" x 52"" Rectangular Table Top Only",concrete-32-x-52-rectangular-table-top-only,COLLECTION_PLUS_MEASUREMENT
4225,3724RCT,Side Table,Concrete Side Table,concrete-side-table,COLLECTION_ONLY
4242,C0030RCTWH,Table Top Only,"Concrete 30"" Table Top Only",concrete-30-table-top-only,COLLECTION_PLUS_MEASUREMENT
4241,C2644XCT,Table Top Only,"Concrete 26"" x 44"" Table Top Only",concrete-26-x-44-table-top-only,COLLECTION_PLUS_MEASUREMENT
