page,collection,category,name,sku,sku_2pack,material,width,depth,height,length,seat_height,arm_height,weight,notes,table_height_type
130,,Outdoor Essentials,"44"" Cover",005369,,Ripstop polyester,,,21.5,,,,,"Use ripstop polyester cover with 42"" round",
130,,Outdoor Essentials,"45"" Cover",005106,,Ripstop polyester,,,25.25,,,,,"Use ripstop polyester cover with 42"" square",
132,,Outdoor Essentials,5' x 8' Rectangle Outdoor Rug,9858X,,Luxury Woven Vinyl,60,,,96,,,,,
130,,Outdoor Essentials,"54"" Cover",005108,,Ripstop polyester,,,25,,,,,"Use ripstop polyester cover with 48"" or 54"" round",
132,,Outdoor Essentials,6' x 9' Rectangle Outdoor Rug,9869X,,Luxury Woven Vinyl,72,,,108,,,,,
132,,Outdoor Essentials,8' x 10' Rectangle Outdoor Rug,98810X,,Luxury Woven Vinyl,96,,,120,,,,,
132,,Outdoor Essentials,9' x 12' Rectangle Outdoor Rug,98912X,,Luxury Woven Vinyl,108,,,144,,,,,
41,,Outdoor Essentials,Dining Chair Wind Kit,KIT91,,Zinc-plated Steel,,,,,,,,"Adds 10 lbs, available in all finishes",
59,,Outdoor Essentials,Dining Chair Wind Kit,KIT91,,Zinc-plated steel,,,,,,,,Adds additional 10 lbs; available in all finishes,
135,,Outdoor Essentials,Heirloom Outdoor Throw,93010,,,,,,,,,,Band Sunset,
135,,Outdoor Essentials,Heirloom Outdoor Throw,93011,,,,,,,,,,Band Tan,
135,,Outdoor Essentials,Heirloom Outdoor Throw,93014,,,,,,,,,,Tan Taupe,
135,,Outdoor Essentials,Heirloom Outdoor Throw,93012,,,,,,,,,,Satin Midnight,
135,,Outdoor Essentials,Heirloom Outdoor Throw,93013,,,,,,,,,,Satin Moss,
41,,Outdoor Essentials,Swivel Rocker Wind Kit,KIT90,,Zinc-plated Steel,,,,,,,,"Adds 10 lbs, available in all finishes",
51,,Outdoor Essentials,Swivel Rocker Wind Kit,KIT90,,Zinc-plated steel,,,,,,,,Adds an additional 10 lbs. Available in all finishes.,
59,,Outdoor Essentials,Swivel Rocker Wind Kit,KIT90,,Zinc-plated steel,,,,,,,,Adds additional 10 lbs; available in all finishes,
130,,Outdoor Essentials,Universal Anchor Kit,406980,,Powder-coated steel,,,,,,,,Four discreet powder-coated brackets. Compatible with most Homecrest lounge seating and table collections.,
41,,Sling,Low Back Dining Chair,91680,,Zinc II | Sling | Aluminum,,,,,,,,Shown in Onyx Welt | Carbon Finish,
59,,Sling,Low Back Dining Chair,1K680,,,,,,,,,,Shown in Carbon | Carbon Welt | Carbon Finish,
59,,Sling,Swivel Rocker Balcony Stool,1K781,,,,,,,,,,Shown in Carbon | Carbon Welt | Carbon Finish,
99,,Tables + Bases,"25"" Square End Table (no Hole) - Trestle Base",2722SHD,,,25,25,21,,,,,no Hole,end
99,,Tables + Bases,"25"" Square Side Table (no Hole) - Trestle Base",2721SHD,,,25,25,16,,,,,no Hole,side
99,,Tables + Bases,"26"" x 44"" Rectangle Coffee Table (no Hole) - Trestle Base",C2644XHD + 272644B,,,26,,15.1,44,,,,"no Hole, Top + Base",coffee
27,,Tables + Bases,"29"" x 72"" Dining (with Hole)",952972X,,,72,67.5,30,,17,,,Seats: 6,dining
27,,Tables + Bases,"29"" x 94"" Dining (with Hole)",952994X,,,94,67.5,30,,17,,,Seats: 8,dining
101,,Tables + Bases,"30"" Round Pedestal Base Balcony Table (no Hole)",1930RNU+2334B,,,,,33.25,,,,,"Top: 1930RNU, Base: 2334B",balcony
101,,Tables + Bases,"30"" Round Pedestal Base Balcony Table (with Hole)",1930R+2334B,,,,,33.25,,,,,"Top: 1930R, Base: 2334B",balcony
101,,Tables + Bases,"30"" Round Pedestal Base Bar Table (no Hole)",1930RNU+2340B,,,,,39.25,,,,,"Top: 1930RNU, Base: 2340B",bar
101,,Tables + Bases,"30"" Round Pedestal Base Bar Table (with Hole)",1930R+2340B,,,,,39.25,,,,,"Top: 1930R, Base: 2340B",bar
101,,Tables + Bases,"30"" Round Pedestal Base Dining Table (no Hole)",1930RNU+2330B,,,,,29.25,,,,,"Top: 1930RNU, Base: 2330B",dining
101,,Tables + Bases,"30"" Round Pedestal Base Dining Table (with Hole)",1930R+2330B,,,,,29.25,,,,,"Top: 1930R, Base: 2330B",dining
99,,Tables + Bases,"32"" x 52"" Rectangle Coffee Table (no Hole) - Trestle Base",C3252XHD + 273252B,,,32,,15.1,52,,,,"no Hole, Top + Base",coffee
101,,Tables + Bases,"36"" Round Pedestal Base Balcony Table (no Hole)",1936RNU+2334B,,,,,33.25,,,,,"Top: 1936RNU, Base: 2334B",balcony
101,,Tables + Bases,"36"" Round Pedestal Base Balcony Table (with Hole)",1936R+2334B,,,,,33.25,,,,,"Top: 1936R, Base: 2334B",balcony
101,,Tables + Bases,"36"" Round Pedestal Base Bar Table (no Hole)",1936RNU+2340B,,,,,39.25,,,,,"Top: 1936RNU, Base: 2340B",bar
101,,Tables + Bases,"36"" Round Pedestal Base Bar Table (with Hole)",1936R+2340B,,,,,39.25,,,,,"Top: 1936R, Base: 2340B",bar
101,,Tables + Bases,"36"" Round Pedestal Base Dining Table (no Hole)",1936RNU+2330B,,,,,29.25,,,,,"Top: 1936RNU, Base: 2330B",dining
101,,Tables + Bases,"36"" Round Pedestal Base Dining Table (with Hole)",1936R+2330B,,,,,29.25,,,,,"Top: 1936R, Base: 2330B",dining
99,,Tables + Bases,"36"" x 60"" Rectangle Coffee Table (no Hole) - Trestle Base",C3660XHD + 273660B,,,36,,15.1,60,,,,"no Hole, Top + Base",coffee
27,,Tables + Bases,"38"" Dining (with Hole)",9538S,,,76,76,30,,17,,,Seats: 4,dining
99,,Tables + Bases,"42"" Square Balcony Table (no Hole) - Post Base",25425BHDNU,,,42,42,35,,,,,no Hole,balcony
99,,Tables + Bases,"42"" Square Balcony Table (with Hole) - Post Base",25425BHD,,,42,42,35,,,,,with Hole,balcony
99,,Tables + Bases,"42"" Square Coffee Table (no Hole) - Trestle Base",C4242SHD + 2742SB,,,42,42,15.1,,,,,"no Hole, Top + Base",coffee
99,,Tables + Bases,"42"" Square Dining Table (no Hole) - Post Base",25425FHDNU,,,42,42,31,,,,,no Hole,dining
99,,Tables + Bases,"42"" Square Dining Table (no Hole) - Trestle Base",2742SFHDNU,,,42,42,30,,,,,no Hole,dining
99,,Tables + Bases,"42"" Square Dining Table (with Hole) - Post Base",25425FHD,,,42,42,31,,,,,with Hole,dining
99,,Tables + Bases,"42"" Square Dining Table (with Hole) - Trestle Base",2742SFHD,,,42,42,30,,,,,with Hole,dining
99,,Tables + Bases,"42"" x 84"" Rectangle Balcony Table (no Hole) - Post Base",254284BHDNU,,,42,,35,84,,,,no Hole,balcony
99,,Tables + Bases,"42"" x 84"" Rectangle Balcony Table (with Hole) - Post Base",254284BHD,,,42,,35,84,,,,with Hole,balcony
99,,Tables + Bases,"42"" x 84"" Rectangle Dining Table (no Hole) - Post Base",254284FHDNU,,,42,,31,84,,,,no Hole,dining
99,,Tables + Bases,"42"" x 84"" Rectangle Dining Table (no Hole) - Trestle Base",274284FHDNU,,,42,,30,84,,,,no Hole,dining
99,,Tables + Bases,"42"" x 84"" Rectangle Dining Table (with Hole) - Post Base",254284FHD,,,42,,31,84,,,,with Hole,dining
99,,Tables + Bases,"42"" x 84"" Rectangle Dining Table (with Hole) - Trestle Base",274284FHD,,,42,,30,84,,,,with Hole,dining
105,,Tables + Bases,"44"" Square Balcony Table (no Hole)",134444B,,,44,44,34,,,,,no Hole,balcony
105,,Tables + Bases,"44"" Square Balcony Table (with Hole)",134444BWH,,,44,44,34,,,,,with Hole,balcony
105,,Tables + Bases,"44"" Square Bar Table (no Hole)",134444BR,,,44,44,40,,,,,no Hole,bar
105,,Tables + Bases,"44"" Square Bar Table (with Hole)",134444BRWH,,,44,44,40,,,,,with Hole,bar
105,,Tables + Bases,"44"" Square Dining Table (no Hole)",134444F,,,44,44,30,,,,,no Hole,dining
105,,Tables + Bases,"44"" Square Dining Table (with Hole)",134444FWH,,,44,44,30,,,,,with Hole,dining
105,,Tables + Bases,"44"" x 110"" Rectangle Balcony Table (no Hole)",1344110B,,,44,,34,110,,,,no Hole,balcony
105,,Tables + Bases,"44"" x 110"" Rectangle Balcony Table (with Hole)",1344110BWH,,,44,,34,110,,,,with Hole,balcony
105,,Tables + Bases,"44"" x 110"" Rectangle Bar Table (no Hole)",1344110BR,,,44,,40,110,,,,no Hole,bar
105,,Tables + Bases,"44"" x 110"" Rectangle Bar Table (with Hole)",1344110BRWH,,,44,,40,110,,,,with Hole,bar
105,,Tables + Bases,"44"" x 110"" Rectangle Dining Table (no Hole)",1344110F,,,44,,30,110,,,,no Hole,dining
105,,Tables + Bases,"44"" x 110"" Rectangle Dining Table (with Hole)",1344110FWH,,,44,,30,110,,,,with Hole,dining
105,,Tables + Bases,"44"" x 66"" Rectangle Balcony Table (no Hole)",134466B,,,44,,34,66,,,,no Hole,balcony
105,,Tables + Bases,"44"" x 66"" Rectangle Balcony Table (with Hole)",134466BWH,,,44,,34,66,,,,with Hole,balcony
105,,Tables + Bases,"44"" x 66"" Rectangle Bar Table (no Hole)",134466BR,,,44,,40,66,,,,no Hole,bar
105,,Tables + Bases,"44"" x 66"" Rectangle Bar Table (with Hole)",134466BRWH,,,44,,40,66,,,,with Hole,bar
105,,Tables + Bases,"44"" x 66"" Rectangle Dining Table (no Hole)",134466F,,,44,,30,66,,,,no Hole,dining
105,,Tables + Bases,"44"" x 66"" Rectangle Dining Table (with Hole)",134466FWH,,,44,,30,66,,,,with Hole,dining
105,,Tables + Bases,"44"" x 88"" Rectangle Balcony Table (no Hole)",134488B,,,44,,34,88,,,,no Hole,balcony
105,,Tables + Bases,"44"" x 88"" Rectangle Balcony Table (with Hole)",134488BWH,,,44,,34,88,,,,with Hole,balcony
105,,Tables + Bases,"44"" x 88"" Rectangle Bar Table (no Hole)",134488BR,,,44,,40,88,,,,no Hole,bar
105,,Tables + Bases,"44"" x 88"" Rectangle Bar Table (with Hole)",134488BRWH,,,44,,40,88,,,,with Hole,bar
