id,sku,final_collection
4346,C2424SSL,Slate
4351,C0036RSL,Slate
4352,C3660XSL,Slate
4354,C0048RSL,Slate
4350,C3252XSL,Slate
4347,C2644XSL,Slate
4349,C3048XSL,Slate
4353,C0042RSL,Slate
4159,7A180,Stella
4160,7A980,Stella
4157,7A681,Stella
4158,7A880,Stella
4161,7A781,Stella
4357,1330RSG,Stonegate
4365,374284BSG,Stonegate
4362,374262BSG,Stonegate
4369,3754RBSG,Stonegate
4360,3742RBSG,Stonegate
4358,3742RCSGNU,Stonegate
4367,3754RCSGNU,Stonegate
4361,374262FSG,Stonegate
4359,3742RFSG,Stonegate
4363,374284FSG,Stonegate
4368,3754RFSG,Stonegate
4356,3723RSG,Stonegate
4355,3724RSG,Stonegate
4375,C3048XSG,Stonegate
4376,C3252XSG,Stonegate
4377,C3636SSG,Stonegate
4378,C3660XSG,Stonegate
4379,C0042RSG,Stonegate
4372,C2436XSGWH,Stonegate
4371,C2430XSGWH,Stonegate
4370,C2424SSG,Stonegate
4373,C2644XSG,Stonegate
4374,C0030RSGWH,Stonegate
4164,24352,Surf
4163,24351,Surf
4162,24350,Surf
4167,45180,Sutton
4168,45980,Sutton
4165,45680,Sutton
4166,45880,Sutton
4169,45781,Sutton
4423,42RSGFPTT,Stonegate Fire Tables
4413,42RSHFPTT,Shadow Rock Fire Tables
4404,42RCTFPTT,Concrete Fire Tables
4412,48RSHFPTT,Shadow Rock Fire Tables
4418,42RSLFPTT,Slate Fire Tables
4403,54RCTFPTT,Concrete Fire Tables
4417,48RSLFPTT,Slate Fire Tables
4428,42RTMFPTT,Timber Fire Tables
4422,54RSGFPTT,Stonegate Fire Tables
4427,54RTMFPTT,Timber Fire Tables
4406,893663XLTTT,Latitude Fire Tables
4416,893660XSLTT,Slate Fire Tables
4402,893660XCTTT,Concrete Fire Tables
4426,893660XTMTT,Timber Fire Tables
4411,893660XSHTT,Shadow Rock Fire Tables
4410,893252XSHTT,Shadow Rock Fire Tables
4415,893252XSLTT,Slate Fire Tables
4405,893250XLTTT,Latitude Fire Tables
4400,42SQCTTT,Concrete Fire Tables
4419,42SQSGTT,Stonegate Fire Tables
4424,42SQTMTT,Timber Fire Tables
4414,42SQSLTT,Slate Fire Tables
4420,893252XSGTT,Stonegate Fire Tables
4421,893660XSGTT,Stonegate Fire Tables
4425,893252XTMTT,Timber Fire Tables
4401,893252XCTTT,Concrete Fire Tables
4409,42SQSHTT,Shadow Rock Fire Tables
4382,1330RTM,Timber
4392,3754RBTM,Timber
4387,254284BTM,Timber
4389,2548SBTM,Timber
4385,3742RBTM,Timber
4383,3742RCTMNU,Timber
4390,3754RCTMNU,Timber
4386,274284FTM,Timber
4391,3754RFTM,Timber
4384,3742RFTM,Timber
4388,2548SFTM,Timber
4381,3722STM,Timber
4380,3721STM,Timber
4399,C0042RTM,Timber
4398,C3660XTM,Timber
4393,C2424STM,Timber
4396,C3252XTM,Timber
4394,C2644XTM,Timber
4395,C0030RTMWH,Timber
4397,C0036RTM,Timber
4340,254282BSL,Slate
4312,254282BSH,Shadow Rock
4311,254282FSH,Shadow Rock
4338,254282FSL,Slate
4366,254284BSG,Stonegate
4364,254284FSG,Stonegate
