id,sku,is_active,available_online,show_price_online,quote_only,in_store_only
5960,2542SFSGNU,True,False,False,True,False
5943,2721SSG,True,False,False,True,False
5944,2722SSG,True,False,False,True,False
5957,274284FSG,True,False,False,True,False
5950,2742SFSG,True,False,False,True,False
5951,2742SFSGNU,True,False,False,True,False
5933,3721SSG,True,False,False,True,False
5932,3722RSG,True,False,False,True,False
5934,3722SSG,True,False,False,True,False
4356,3723RSG,True,False,False,True,False
4355,3724RSG,True,False,False,True,False
5931,3725RSG,True,False,False,True,False
4362,374262BSG,True,False,False,True,False
4361,374262FSG,True,False,False,True,False
4365,374284BSG,True,False,False,True,False
4363,374284FSG,True,False,False,True,False
4360,3742RBSG,True,False,False,True,False
5936,3742RBSGNU,True,False,False,True,False
4358,3742RCSGNU,True,False,False,True,False
4359,3742RFSG,True,False,False,True,False
5935,3742RFSGNU,True,False,False,True,False
5938,3742SBSG,True,False,False,True,False
5940,3742SBSGNU,True,False,False,True,False
5937,3742SFSG,True,False,False,True,False
5939,3742SFSGNU,True,False,False,True,False
4369,3754RBSG,True,False,False,True,False
5942,3754RBSGNU,True,False,False,True,False
4367,3754RCSGNU,True,False,False,True,False
4368,3754RFSG,True,False,False,True,False
5941,3754RFSGNU,True,False,False,True,False
5980,C0030RSG+2330B,True,False,False,True,False
5981,C0030RSG+2334B,True,False,False,True,False
5982,C0030RSG+2340B,True,False,False,True,False
5977,C0030RSGWH+2330B,True,False,False,True,False
5978,C0030RSGWH+2334B,True,False,False,True,False
5979,C0030RSGWH+2340B,True,False,False,True,False
5992,C0036RSG+2330B,True,False,False,True,False
5993,C0036RSG+2334B,True,False,False,True,False
5994,C0036RSG+2340B,True,False,False,True,False
5995,C0036RSGNU+2330B,True,False,False,True,False
5996,C0036RSGNU+2334B,True,False,False,True,False
5997,C0036RSGNU+2340B,True,False,False,True,False
6004,C0042RSG+3330B,True,False,False,True,False
6005,C0042RSG+3334B,True,False,False,True,False
6006,C0042RSG+3340B,True,False,False,True,False
5948,C0042RSGNU+2742RB,True,False,False,True,False
6007,C0042RSGNU+3330B,True,False,False,True,False
6008,C0042RSGNU+3334B,True,False,False,True,False
6009,C0042RSGNU+3340B,True,False,False,True,False
5962,C2424SSG+2330B,True,False,False,True,False
5963,C2424SSG+2334B,True,False,False,True,False
5964,C2424SSG+2340B,True,False,False,True,False
5952,C2424SSG+5723B,True,False,False,True,False
5968,C2430XSG+2330B,True,False,False,True,False
5969,C2430XSG+2334B,True,False,False,True,False
5970,C2430XSG+2340B,True,False,False,True,False
5953,C2430XSG+5723B,True,False,False,True,False
5965,C2430XSGWH+2330B,True,False,False,True,False
5966,C2430XSGWH+2334B,True,False,False,True,False
5967,C2430XSGWH+2340B,True,False,False,True,False
5974,C2436XSG+2330B,True,False,False,True,False
5975,C2436XSG+2334B,True,False,False,True,False
5976,C2436XSG+2340B,True,False,False,True,False
5971,C2436XSGWH+2330B,True,False,False,True,False
5972,C2436XSGWH+2334B,True,False,False,True,False
5973,C2436XSGWH+2340B,True,False,False,True,False
5945,C2644XSG+272644B,True,False,False,True,False
5954,C2644XSG+5744B,True,False,False,True,False
5986,C3030SSG+2330B,True,False,False,True,False
5987,C3030SSG+2334B,True,False,False,True,False
5988,C3030SSG+2340B,True,False,False,True,False
5955,C3030SSG+5723B,True,False,False,True,False
5983,C3030SSGWH+2330B,True,False,False,True,False
5984,C3030SSGWH+2334B,True,False,False,True,False
5985,C3030SSGWH+2340B,True,False,False,True,False
5989,C3048XSG+2330B,True,False,False,True,False
5990,C3048XSG+2334B,True,False,False,True,False
5991,C3048XSG+2340B,True,False,False,True,False
5956,C3048XSG+5744B,True,False,False,True,False
5946,C3252XSG+273252B,True,False,False,True,False
5998,C3636SSG+2330B,True,False,False,True,False
5999,C3636SSG+2334B,True,False,False,True,False
6000,C3636SSG+2340B,True,False,False,True,False
6001,C3636SSGNU+2330B,True,False,False,True,False
6002,C3636SSGNU+2334B,True,False,False,True,False
6003,C3636SSGNU+2340B,True,False,False,True,False
5947,C3660XSG+273660B,True,False,False,True,False
6010,C4242SSG+3330B,True,False,False,True,False
6011,C4242SSG+3334B,True,False,False,True,False
6012,C4242SSG+3340B,True,False,False,True,False
5949,C4242SSGNU+2742SB,True,False,False,True,False
6013,C4242SSGNU+3330B,True,False,False,True,False
6014,C4242SSGNU+3334B,True,False,False,True,False
