type,manufacturer,slug,url,lastmod
product,couture-jardin,enjoy-dining-table-cj,https://oasisgardenandpatio.com/shop/enjoy-dining-table-cj,2026-07-14
product,couture-jardin,enjoy-ottoman-cj,https://oasisgardenandpatio.com/shop/enjoy-ottoman-cj,2026-07-13
product,couture-jardin,enjoy-oval-coffee-table-cj,https://oasisgardenandpatio.com/shop/enjoy-oval-coffee-table-cj,2026-07-13
product,couture-jardin,enjoy-round-adjustable-height-table-anthracite-cj,https://oasisgardenandpatio.com/shop/enjoy-round-adjustable-height-table-anthracite-cj,2026-07-13
product,couture-jardin,enjoy-round-adjustable-height-table-bronze-cj,https://oasisgardenandpatio.com/shop/enjoy-round-adjustable-height-table-bronze-cj,2026-07-13
product,couture-jardin,enjoy-side-table-cj,https://oasisgardenandpatio.com/shop/enjoy-side-table-cj,2026-07-13
product,couture-jardin,enjoy-sofa-cj,https://oasisgardenandpatio.com/shop/enjoy-sofa-cj,2026-07-13
product,couture-jardin,flexi-multi-function-armless-chair-2-cj,https://oasisgardenandpatio.com/shop/flexi-multi-function-armless-chair-2-cj,2026-07-13
product,couture-jardin,flexi-multi-function-armless-chair-cj,https://oasisgardenandpatio.com/shop/flexi-multi-function-armless-chair-cj,2026-07-13
product,couture-jardin,flexi-multi-function-sofa-2-cj,https://oasisgardenandpatio.com/shop/flexi-multi-function-sofa-2-cj,2026-07-13
product,couture-jardin,flexi-multi-function-sofa-cj,https://oasisgardenandpatio.com/shop/flexi-multi-function-sofa-cj,2026-07-13
product,couture-jardin,hex-stool-cj,https://oasisgardenandpatio.com/shop/hex-stool-cj,2026-07-13
product,couture-jardin,hex-tray-cj,https://oasisgardenandpatio.com/shop/hex-tray-cj,2026-07-13
product,couture-jardin,hug-arc-corner-sofa-cj,https://oasisgardenandpatio.com/shop/hug-arc-corner-sofa-cj,2026-07-13
product,couture-jardin,hug-arc-corner-sofa-greige-cj,https://oasisgardenandpatio.com/shop/hug-arc-corner-sofa-greige-cj,2026-07-13
product,couture-jardin,hug-armchair-cj,https://oasisgardenandpatio.com/shop/hug-armchair-cj,2026-07-13
product,couture-jardin,hug-armchair-greige-cj,https://oasisgardenandpatio.com/shop/hug-armchair-greige-cj,2026-07-13
product,couture-jardin,hug-armless-chair-cj,https://oasisgardenandpatio.com/shop/hug-armless-chair-cj,2026-07-13
product,couture-jardin,hug-armless-chair-greige-cj,https://oasisgardenandpatio.com/shop/hug-armless-chair-greige-cj,2026-07-13
product,couture-jardin,hug-bar-stool-cj,https://oasisgardenandpatio.com/shop/hug-bar-stool-cj,2026-07-14
product,couture-jardin,hug-bar-stool-greige-cj,https://oasisgardenandpatio.com/shop/hug-bar-stool-greige-cj,2026-07-14
product,couture-jardin,hug-canopy-cj,https://oasisgardenandpatio.com/shop/hug-canopy-cj,2026-07-13
product,couture-jardin,hug-canopy-greige-cj,https://oasisgardenandpatio.com/shop/hug-canopy-greige-cj,2026-07-13
product,couture-jardin,hug-chaise-lounge-ottoman-cj,https://oasisgardenandpatio.com/shop/hug-chaise-lounge-ottoman-cj,2026-07-13
product,couture-jardin,hug-chaise-lounge-ottoman-greige-cj,https://oasisgardenandpatio.com/shop/hug-chaise-lounge-ottoman-greige-cj,2026-07-13
product,couture-jardin,hug-coffee-table-cj,https://oasisgardenandpatio.com/shop/hug-coffee-table-cj,2026-07-13
product,couture-jardin,hug-coffee-table-greige-cj,https://oasisgardenandpatio.com/shop/hug-coffee-table-greige-cj,2026-07-13
product,couture-jardin,hug-daybed-with-canopy-cj,https://oasisgardenandpatio.com/shop/hug-daybed-with-canopy-cj,2026-07-13
product,couture-jardin,hug-daybed-with-canopy-greige-cj,https://oasisgardenandpatio.com/shop/hug-daybed-with-canopy-greige-cj,2026-07-13
product,couture-jardin,hug-dining-chair-cj,https://oasisgardenandpatio.com/shop/hug-dining-chair-cj,2026-07-14
product,couture-jardin,hug-dining-chair-greige-cj,https://oasisgardenandpatio.com/shop/hug-dining-chair-greige-cj,2026-07-14
product,couture-jardin,hug-hanging-chair-cj,https://oasisgardenandpatio.com/shop/hug-hanging-chair-cj,2026-07-13
product,couture-jardin,hug-hanging-chair-greige-cj,https://oasisgardenandpatio.com/shop/hug-hanging-chair-greige-cj,2026-07-13
product,couture-jardin,hug-hanging-chair-stand-2-cj,https://oasisgardenandpatio.com/shop/hug-hanging-chair-stand-2-cj,2026-07-13
product,couture-jardin,hug-hanging-chair-stand-cj,https://oasisgardenandpatio.com/shop/hug-hanging-chair-stand-cj,2026-07-13
product,couture-jardin,hug-left-hand-chair-cj,https://oasisgardenandpatio.com/shop/hug-left-hand-chair-cj,2026-07-13
product,couture-jardin,hug-left-hand-chair-greige-cj,https://oasisgardenandpatio.com/shop/hug-left-hand-chair-greige-cj,2026-07-13
product,couture-jardin,hug-ottoman-cj,https://oasisgardenandpatio.com/shop/hug-ottoman-cj,2026-07-13
product,couture-jardin,hug-ottoman-greige-cj,https://oasisgardenandpatio.com/shop/hug-ottoman-greige-cj,2026-07-13
product,couture-jardin,hug-right-hand-chair-cj,https://oasisgardenandpatio.com/shop/hug-right-hand-chair-cj,2026-07-13
product,couture-jardin,hug-right-hand-chair-greige-cj,https://oasisgardenandpatio.com/shop/hug-right-hand-chair-greige-cj,2026-07-13
product,couture-jardin,hug-round-adjustable-height-table-cj,https://oasisgardenandpatio.com/shop/hug-round-adjustable-height-table-cj,2026-07-14
product,couture-jardin,hug-round-lunch-table-cj,https://oasisgardenandpatio.com/shop/hug-round-lunch-table-cj,2026-07-14
product,couture-jardin,hug-round-lunch-table-greige-cj,https://oasisgardenandpatio.com/shop/hug-round-lunch-table-greige-cj,2026-07-14
product,couture-jardin,hug-side-table-cj,https://oasisgardenandpatio.com/shop/hug-side-table-cj,2026-07-13
product,couture-jardin,hug-side-table-greige-cj,https://oasisgardenandpatio.com/shop/hug-side-table-greige-cj,2026-07-13
product,couture-jardin,hug-swivel-armchair-cj,https://oasisgardenandpatio.com/shop/hug-swivel-armchair-cj,2026-07-13
product,couture-jardin,hug-swivel-armchair-greige-cj,https://oasisgardenandpatio.com/shop/hug-swivel-armchair-greige-cj,2026-07-13
product,couture-jardin,kokoon-daybed-cj,https://oasisgardenandpatio.com/shop/kokoon-daybed-cj,2026-07-13
product,couture-jardin,loop-armchair-cj,https://oasisgardenandpatio.com/shop/loop-armchair-cj,2026-07-13
product,couture-jardin,loop-bar-stool-cj,https://oasisgardenandpatio.com/shop/loop-bar-stool-cj,2026-07-14
product,couture-jardin,loop-bar-table-cj,https://oasisgardenandpatio.com/shop/loop-bar-table-cj,2026-07-14
product,couture-jardin,loop-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/loop-chaise-lounge-cj,2026-07-13
product,couture-jardin,loop-coffee-corner-table-cj,https://oasisgardenandpatio.com/shop/loop-coffee-corner-table-cj,2026-07-13
product,couture-jardin,loop-coffee-table-cj,https://oasisgardenandpatio.com/shop/loop-coffee-table-cj,2026-07-13
product,couture-jardin,loop-dining-chair-cj,https://oasisgardenandpatio.com/shop/loop-dining-chair-cj,2026-07-14
product,couture-jardin,loop-dining-table-42-cj,https://oasisgardenandpatio.com/shop/loop-dining-table-42-cj,2026-07-14
product,couture-jardin,loop-dining-table-48-cj,https://oasisgardenandpatio.com/shop/loop-dining-table-48-cj,2026-07-14
product,couture-jardin,loop-dining-table-cj,https://oasisgardenandpatio.com/shop/loop-dining-table-cj,2026-07-14
product,couture-jardin,loop-hanging-chair-cj,https://oasisgardenandpatio.com/shop/loop-hanging-chair-cj,2026-07-13
product,couture-jardin,loop-hanging-chair-stand-cj,https://oasisgardenandpatio.com/shop/loop-hanging-chair-stand-cj,2026-07-13
product,couture-jardin,loop-highback-armchair-cj,https://oasisgardenandpatio.com/shop/loop-highback-armchair-cj,2026-07-13
product,couture-jardin,loop-ottoman-cj,https://oasisgardenandpatio.com/shop/loop-ottoman-cj,2026-07-13
product,couture-jardin,loop-sofa-cj,https://oasisgardenandpatio.com/shop/loop-sofa-cj,2026-07-13
product,couture-jardin,loop-swivel-armchair-cj,https://oasisgardenandpatio.com/shop/loop-swivel-armchair-cj,2026-07-13
product,couture-jardin,lounge-armless-chair-cj,https://oasisgardenandpatio.com/shop/lounge-armless-chair-cj,2026-07-13
product,couture-jardin,lounge-armless-two-seater-sofa-cj,https://oasisgardenandpatio.com/shop/lounge-armless-two-seater-sofa-cj,2026-07-13
product,couture-jardin,lounge-bar-stool-box-of-2-cj,https://oasisgardenandpatio.com/shop/lounge-bar-stool-box-of-2-cj,2026-07-14
product,couture-jardin,lounge-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/lounge-chaise-lounge-cj,2026-07-13
product,couture-jardin,lounge-dining-chair-cj,https://oasisgardenandpatio.com/shop/lounge-dining-chair-cj,2026-07-14
product,couture-jardin,lounge-left-hand-three-seater-sofa-cj,https://oasisgardenandpatio.com/shop/lounge-left-hand-three-seater-sofa-cj,2026-07-13
product,couture-jardin,lounge-oval-coffee-table-cj,https://oasisgardenandpatio.com/shop/lounge-oval-coffee-table-cj,2026-07-13
product,couture-jardin,lounge-right-hand-three-seater-sofa-cj,https://oasisgardenandpatio.com/shop/lounge-right-hand-three-seater-sofa-cj,2026-07-13
product,couture-jardin,lounge-round-coffee-table-cj,https://oasisgardenandpatio.com/shop/lounge-round-coffee-table-cj,2026-07-13
product,couture-jardin,lounge-side-coffee-table-cj,https://oasisgardenandpatio.com/shop/lounge-side-coffee-table-cj,2026-07-13
product,couture-jardin,lounge-side-table-for-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/lounge-side-table-for-chaise-lounge-cj,2026-07-14
product,couture-jardin,noble-high-back-armless-chair-2-cj,https://oasisgardenandpatio.com/shop/noble-high-back-armless-chair-2-cj,2026-07-13
product,couture-jardin,noble-high-back-armless-chair-cj,https://oasisgardenandpatio.com/shop/noble-high-back-armless-chair-cj,2026-07-13
product,couture-jardin,noble-side-table-2-cj,https://oasisgardenandpatio.com/shop/noble-side-table-2-cj,2026-07-13
product,couture-jardin,noble-side-table-cj,https://oasisgardenandpatio.com/shop/noble-side-table-cj,2026-07-13
product,couture-jardin,oasis-chaise-lounge-anthracite-cj,https://oasisgardenandpatio.com/shop/oasis-chaise-lounge-anthracite-cj,2026-07-13
product,couture-jardin,oasis-chaise-lounge-cj,https://oasisgardenandpatio.com/shop/oasis-chaise-lounge-cj,2026-07-13
product,couture-jardin,oasis-chaise-lounge-taupe-cj,https://oasisgardenandpatio.com/shop/oasis-chaise-lounge-taupe-cj,2026-07-13
product,couture-jardin,ocean-in-pool-chaise-cj,https://oasisgardenandpatio.com/shop/ocean-in-pool-chaise-cj,2026-07-13
product,couture-jardin,olala-chair-d-grey-cj,https://oasisgardenandpatio.com/shop/olala-chair-d-grey-cj,2026-07-13
product,couture-jardin,olala-chair-l-grey-cj,https://oasisgardenandpatio.com/shop/olala-chair-l-grey-cj,2026-07-13
product,couture-jardin,olala-chair-yellow-cj,https://oasisgardenandpatio.com/shop/olala-chair-yellow-cj,2026-07-13
product,couture-jardin,olala-chaise-lounge-dark-grey-cj,https://oasisgardenandpatio.com/shop/olala-chaise-lounge-dark-grey-cj,2026-07-13
product,couture-jardin,olala-coner-sofa-cj,https://oasisgardenandpatio.com/shop/olala-coner-sofa-cj,2026-07-13
product,couture-jardin,olala-coner-sofa-dark-grey-cj,https://oasisgardenandpatio.com/shop/olala-coner-sofa-dark-grey-cj,2026-07-13
product,couture-jardin,olala-double-armless-sofa-dark-grey-cj,https://oasisgardenandpatio.com/shop/olala-double-armless-sofa-dark-grey-cj,2026-07-13
product,couture-jardin,olala-double-sofa-cj,https://oasisgardenandpatio.com/shop/olala-double-sofa-cj,2026-07-13
product,couture-jardin,olala-lounger-cj,https://oasisgardenandpatio.com/shop/olala-lounger-cj,2026-07-13
product,couture-jardin,olala-lounger-dark-grey-cj,https://oasisgardenandpatio.com/shop/olala-lounger-dark-grey-cj,2026-07-13
product,couture-jardin,olala-lounger-light-grey-cj,https://oasisgardenandpatio.com/shop/olala-lounger-light-grey-cj,2026-07-13
product,couture-jardin,olala-small-ottoman-dark-grey-cj,https://oasisgardenandpatio.com/shop/olala-small-ottoman-dark-grey-cj,2026-07-13
product,couture-jardin,olala-small-ottoman-light-grey-cj,https://oasisgardenandpatio.com/shop/olala-small-ottoman-light-grey-cj,2026-07-13
product,couture-jardin,olala-small-ottoman-yellow-cj,https://oasisgardenandpatio.com/shop/olala-small-ottoman-yellow-cj,2026-07-13
