id,sku,name,collection,category_id,sub_category,manufacturer_id,display_order,featured,is_active,catalog_visible,available_online,quote_only,price,msrp,category_name,manufacturer_name
5128,FC101-NF,Oakwood Beach Lounger (No Foot Rest),,38,Beach,28,0,False,True,True,True,False,366.00,366.00,Umbrellas,Frankford Umbrellas
5129,FC-TBL,Oak Wood Folding Table,,38,Beach,28,0,False,True,True,True,False,181.00,181.00,Umbrellas,Frankford Umbrellas
5133,CB87,CB87 Clam Shell Beach Cabana,,38,Beach,28,0,False,True,True,True,False,1227.00,1227.00,Umbrellas,Frankford Umbrellas
5553,896NGU,The Nova,,38,Market,28,0,False,True,True,True,False,7310.00,7310.00,Umbrellas,Frankford Umbrellas
5555,844FWB-01,The Avalon,,38,Beach,28,0,False,True,True,True,False,445.00,445.00,Umbrellas,Frankford Umbrellas
5556,845W,The Emerald Coast,,38,Beach,28,0,False,True,True,True,False,381.00,381.00,Umbrellas,Frankford Umbrellas
5557,883MLA-SQ,Marella Resort Cabana,,38,Cabana,28,0,False,True,True,True,False,8650.00,8650.00,Umbrellas,Frankford Umbrellas
5561,868ARU-F,The Aurora Fiberglass,,38,Cantilever,28,0,False,True,True,True,False,3680.00,3680.00,Umbrellas,Frankford Umbrellas
5614,BH-CHAIR,Beach Haven Folding Beach Chair,,38,Beach,28,0,False,True,True,True,False,230.00,230.00,Umbrellas,Frankford Umbrellas
5615,BH-UMBRELLA,Beach Haven Folding Beach Umbrella,,38,Beach,28,0,False,True,True,True,False,186.00,186.00,Umbrellas,Frankford Umbrellas
5616,639SS,Shade Star Beach Umbrella,,38,Beach,28,0,False,True,True,True,False,270.00,270.00,Umbrellas,Frankford Umbrellas
4870,BA150,Commercial,,39,,12,28,False,True,True,True,False,785.00,785.00,Umbrella Bases,Treasure Garden
4871,BSK120,Steel (with casters),,39,,12,29,False,True,True,True,False,660.00,660.00,Umbrella Bases,Treasure Garden
4872,BTT100,Athens,,39,,12,30,False,True,True,True,False,870.00,870.00,Umbrella Bases,Treasure Garden
4873,BRW100,Aurora,,39,,12,31,False,True,True,True,False,655.00,655.00,Umbrella Bases,Treasure Garden
4874,BKM100,Monaco Round,,39,,12,32,False,True,True,True,False,620.00,620.00,Umbrella Bases,Treasure Garden
4875,BKMSQ100,Monaco Square,,39,,12,33,False,True,True,True,False,620.00,620.00,Umbrella Bases,Treasure Garden
4876,BG50,Garden,,39,,12,34,False,True,True,True,False,310.00,310.00,Umbrella Bases,Treasure Garden
4877,BA50,Art Deco,,39,,12,35,False,True,True,True,False,300.00,300.00,Umbrella Bases,Treasure Garden
4878,BW50,Classic,,39,,12,36,False,True,True,True,False,190.00,190.00,Umbrella Bases,Treasure Garden
4879,BS359,Steel,,39,,12,37,False,True,True,True,False,160.00,160.00,Umbrella Bases,Treasure Garden
4880,BW30,Add-On Weight,,39,,12,38,False,True,True,True,False,105.00,105.00,Umbrella Bases,Treasure Garden
4881,BS70-2.0,Steel,,39,,12,39,False,True,True,True,False,355.00,355.00,Umbrella Bases,Treasure Garden
4882,ZBWH-SM,Add-On Wheels,,39,,12,40,False,True,True,True,False,50.00,50.00,Umbrella Bases,Treasure Garden
4883,BASE-13R-_,AKZ13 Rolling Base,,39,Cantilever,12,41,False,True,True,True,False,1380.00,1380.00,Umbrella Bases,Treasure Garden
4884,ZB115,Z-Plate,,39,,12,42,False,True,True,True,False,735.00,735.00,Umbrella Bases,Treasure Garden
4885,BASE-13-_,AKZ13 Base,,39,Cantilever,12,43,False,True,True,True,False,600.00,600.00,Umbrella Bases,Treasure Garden
4886,BASE-AKZ-_,AKZ Base,,39,Cantilever,12,44,False,True,True,True,False,325.00,325.00,Umbrella Bases,Treasure Garden
4944,040ED,European Cast Iron Base - 40 lb,,39,,29,0,False,True,True,True,False,400.00,400.00,Umbrella Bases,Galtech International
4945,075ED,European Cast Iron Base - 75 lb,,39,,29,0,False,True,True,True,False,600.00,600.00,Umbrella Bases,Galtech International
4946,BSTUBE15,"Base Tube 1.5"" dia, 12"" height",,39,,29,0,False,True,True,True,False,80.00,80.00,Umbrella Bases,Galtech International
4947,040SQBK,Steel Plate Base - 40 lb (772 only),,39,,29,0,False,True,True,True,False,400.00,400.00,Umbrella Bases,Galtech International
4948,060SQ,Steel Plate Base - 60 lb,,39,,29,0,False,True,True,True,False,600.00,600.00,Umbrella Bases,Galtech International
4949,085SQ,Steel Plate Base - 85 lb,,39,,29,0,False,True,True,True,False,800.00,800.00,Umbrella Bases,Galtech International
4950,095SQ,Wheels Base - 95 lb,,39,,29,0,False,True,True,True,False,1000.00,1000.00,Umbrella Bases,Galtech International
4951,120SQ,Heavy Weight Base - 120 lb,,39,,29,0,False,True,True,True,False,1100.00,1100.00,Umbrella Bases,Galtech International
4952,170SQ,Heavy Weight Base - 170 lb,,39,,29,0,False,True,True,True,False,1500.00,1500.00,Umbrella Bases,Galtech International
4953,BSTUBE-SQ-12,"Premium Base Tube 12.5""",,39,,29,0,False,True,True,True,False,80.00,80.00,Umbrella Bases,Galtech International
4954,BSTUBE-SQ-24,"Premium Base Tube 24""",,39,,29,0,False,True,True,True,False,90.00,90.00,Umbrella Bases,Galtech International
5072,100A,Premium Aluminum Shell Wheel Base 100 lbs,,39,Market,28,0,False,True,True,True,False,590.00,590.00,Umbrella Bases,Frankford Umbrellas
5073,100S,Steel Plate Base 100 lbs,,39,Market,28,0,False,True,True,True,False,640.00,640.00,Umbrella Bases,Frankford Umbrellas
5074,150A,Premium Aluminum Shell Wheel Base 150 lbs,,39,Market,28,0,False,True,True,True,False,970.00,970.00,Umbrella Bases,Frankford Umbrellas
5075,23,Resin Coated Concrete Base 80 lbs,,39,,28,0,False,True,True,True,False,234.00,234.00,Umbrella Bases,Frankford Umbrellas
5076,24G-SQ,Square Galvanized Steel Base 100 lbs,,39,Market,28,0,False,True,True,True,False,780.00,780.00,Umbrella Bases,Frankford Umbrellas
5077,30G,Round Galvanized Steel Base 100 lbs,,39,Market,28,0,False,True,True,True,False,860.00,860.00,Umbrella Bases,Frankford Umbrellas
5078,36G,Round Galvanized Steel Base 150 lbs,,39,Market,28,0,False,True,True,True,False,1160.00,1160.00,Umbrella Bases,Frankford Umbrellas
5079,36G-SQ,Square Galvanized Steel Base 200 lbs,,39,Market,28,0,False,True,True,True,False,1430.00,1430.00,Umbrella Bases,Frankford Umbrellas
5080,40G,Round Galvanized Steel Base 185 lbs,,39,Market,28,0,False,True,True,True,False,1430.00,1430.00,Umbrella Bases,Frankford Umbrellas
5081,480,Galvanized Wheel Base w/ Aluminum Cover,,39,Market,28,0,False,True,True,True,False,1380.00,1380.00,Umbrella Bases,Frankford Umbrellas
5082,75S,Steel Plate Base 75 lbs,,39,Market,28,0,False,True,True,True,False,414.00,414.00,Umbrella Bases,Frankford Umbrellas
5083,20G-SQ,Square Galvanized Steel Base 70 lbs,,39,,28,0,False,True,True,True,False,680.00,680.00,Umbrella Bases,Frankford Umbrellas
5084,24G,Round Galvanized Steel Base 70 lbs,,39,,28,0,False,True,True,True,False,680.00,680.00,Umbrella Bases,Frankford Umbrellas
5085,50C,Resin Coated Concrete Base 50 lbs,,39,,28,0,False,True,True,True,False,108.00,108.00,Umbrella Bases,Frankford Umbrellas
5086,50S,Steel Plate Base 50 lbs,,39,,28,0,False,True,True,True,False,300.00,300.00,Umbrella Bases,Frankford Umbrellas
5087,18ST,"Stainless Steel Stem (1.5"" x 18"")",,39,,28,0,False,True,True,True,False,174.00,174.00,Umbrella Bases,Frankford Umbrellas
5088,8ST,"Stainless Steel Stem (1.5"" x 8"")",,39,,28,0,False,True,True,True,False,142.00,142.00,Umbrella Bases,Frankford Umbrellas
5089,18ST2,"Stainless Steel Stem (2.0"" x 18"")",,39,Market,28,0,False,True,True,True,False,216.00,216.00,Umbrella Bases,Frankford Umbrellas
5090,+W,Castor Locking Wheels (Set of 4),,39,,28,0,False,True,True,True,False,280.00,280.00,Umbrella Bases,Frankford Umbrellas
5091,36G-SQx2,Square Galvanized Steel Base and Base Stacks 400 lbs,,39,Cantilever,28,0,False,True,True,True,False,2540.00,2540.00,Umbrella Bases,Frankford Umbrellas
5092,36G-SQx3,Square Galvanized Steel Base and Base Stacks 600 lbs,,39,Cantilever,28,0,False,True,True,True,False,3810.00,3810.00,Umbrella Bases,Frankford Umbrellas
5094,40G+36G,Round Galvanized Steel Base Stacks Combo (Base & 2 Stacking Plates),,39,Cantilever,28,0,False,True,True,True,False,2270.00,2270.00,Umbrella Bases,Frankford Umbrellas
5095,40Gx2,Round Galvanized Steel Base Stacks 370 lbs,,39,Cantilever,28,0,False,True,True,True,False,2540.00,2540.00,Umbrella Bases,Frankford Umbrellas
5096,40Gx3,Round Galvanized Steel Base Stacks 555 lbs,,39,Cantilever,28,0,False,True,True,True,False,3810.00,3810.00,Umbrella Bases,Frankford Umbrellas
5097,40Gx4,Round Galvanized Steel Base Stacks 740 lbs,,39,Cantilever,28,0,False,True,True,True,False,5080.00,5080.00,Umbrella Bases,Frankford Umbrellas
5100,DP-SM/BK,Surface Mount Deck Plate,,39,Cantilever,28,0,False,True,True,True,False,230.00,230.00,Umbrella Bases,Frankford Umbrellas
5101,DP-SS,Stainless Steel Surface Mount Deck Plate,,39,Cantilever,28,0,False,True,True,True,False,510.00,510.00,Umbrella Bases,Frankford Umbrellas
5102,SS-DB (4),Stainless Steel Countersunk Concrete Wedge Anchors (4),,39,,28,0,False,True,True,True,False,64.00,64.00,Umbrella Bases,Frankford Umbrellas
5103,150A+18ST2,Premium Aluminum Shell Wheel Combo (150 lb Base & Stem),,39,Market,28,0,False,True,True,True,False,970.00,970.00,Umbrella Bases,Frankford Umbrellas
5104,36G+18ST2,Round Galvanized Steel Base Stacks Combo (150 lb Base & Stem),,39,Market,28,0,False,True,True,True,False,1160.00,1160.00,Umbrella Bases,Frankford Umbrellas
5105,36G-SQ+18ST2,Square Galvanized Steel Base and Base Stacks Combo (200 lb Base & Stem),,39,Market,28,0,False,True,True,True,False,1430.00,1430.00,Umbrella Bases,Frankford Umbrellas
5106,40G+18ST2,Round Galvanized Steel Base Stacks Combo (185 lb Base & Stem),,39,Market,28,0,False,True,True,True,False,1430.00,1430.00,Umbrella Bases,Frankford Umbrellas
5107,480+18ST2,Model 480 Wheel Base Combo (Base & Stem),,39,Market,28,0,False,True,True,True,False,1380.00,1380.00,Umbrella Bases,Frankford Umbrellas
5108,NGU-DP,Galvanized Steel Surface Mount Deck Plate,,39,Market,28,0,False,True,True,True,False,280.00,280.00,Umbrella Bases,Frankford Umbrellas
5109,NGU550,Galvanized Steel Max Base,,39,,28,0,False,True,True,True,False,2540.00,2540.00,Umbrella Bases,Frankford Umbrellas
5111,BZ2-SM,"Bazooka In-Ground Anchored Stem (2"")",,39,Market,28,0,False,True,True,True,False,484.00,484.00,Umbrella Bases,Frankford Umbrellas
5112,BZ2-SS,Stainless Steel Bazooka Stem Upgrade,,39,,28,0,False,True,True,True,False,112.00,112.00,Umbrella Bases,Frankford Umbrellas
5113,CMLK-SM,Camlock Surface Mounted Stem,,39,,28,0,False,True,True,True,False,306.00,306.00,Umbrella Bases,Frankford Umbrellas
5114,DP-ST,Stainless Steel Stem Surface Mount,,39,Market,28,0,False,True,True,True,False,160.00,160.00,Umbrella Bases,Frankford Umbrellas
5116,IG-ST,Stainless Steel Stem In-Ground Mount,,39,,28,0,False,True,True,True,False,205.00,205.00,Umbrella Bases,Frankford Umbrellas
5118,30G+24G-MLA,Round Galvanized Steel Base Stacks Marella Combo (Base & Double Plates),,39,Cabana,28,0,False,True,True,True,False,1428.00,1428.00,Umbrella Bases,Frankford Umbrellas
5119,30G-MLA,Round Galvanized Steel Base Stacks 100 lbs (Marella),,39,Cabana,28,0,False,True,True,True,False,810.00,810.00,Umbrella Bases,Frankford Umbrellas
5120,30Gx2-MLA,Round Galvanized Steel Base Stacks 200 lbs (Marella),,39,Cabana,28,0,False,True,True,True,False,1620.00,1620.00,Umbrella Bases,Frankford Umbrellas
5121,36G-MLA,Round Galvanized Steel Base Stacks 150 lbs (Marella),,39,Cabana,28,0,False,True,True,True,False,1110.00,1110.00,Umbrella Bases,Frankford Umbrellas
5122,36G-SQ-MLA,Square Galvanized Steel Base (Marella),,39,Cabana,28,0,False,True,True,True,False,1380.00,1380.00,Umbrella Bases,Frankford Umbrellas
