id,sku,name,slug,collection,category_id,category,specs,is_active,available_online
5726,C2424SCT+5723B,"Concrete 24"" Square End Table (Post Base, no Hole)",concrete-24-square-end-table-post-base-no-hole-c2424sct-5723b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '21""'}",True,True
5727,C2644XCT+272644B,"Concrete 26"" x 44"" Rectangle Coffee Table (Trestle Base, no Hole)",concrete-26-x-44-rectangle-coffee-table-trestle-base-no-hole-c2644xct-272644b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '44""', 'Width': '26""', 'Height': '15.1""'}",True,True
5728,C2644XCT+5744B,"Concrete 26"" x 44"" Rectangle Coffee Table (Post Base, no Hole)",concrete-26-x-44-rectangle-coffee-table-post-base-no-hole-c2644xct-5744b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '44""', 'Width': '26""', 'Height': '16""'}",True,True
5729,C0030RCTWH+2330B,"Concrete 30"" Round Dining Table (Pedestal Base, with Hole)",concrete-30-round-dining-table-pedestal-base-with-hole-c0030rctwh-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}",True,True
5730,C0030RCTWH+2334B,"Concrete 30"" Round Balcony Table (Pedestal Base, with Hole)",concrete-30-round-balcony-table-pedestal-base-with-hole-c0030rctwh-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}",True,True
5731,C0030RCTWH+2340B,"Concrete 30"" Round Bar Table (Pedestal Base, with Hole)",concrete-30-round-bar-table-pedestal-base-with-hole-c0030rctwh-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}",True,True
5732,C0030RCT+2330B,"Concrete 30"" Round Dining Table (Pedestal Base, no Hole)",concrete-30-round-dining-table-pedestal-base-no-hole-c0030rct-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}",True,True
5733,C0030RCT+2334B,"Concrete 30"" Round Balcony Table (Pedestal Base, no Hole)",concrete-30-round-balcony-table-pedestal-base-no-hole-c0030rct-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}",True,True
5734,C0030RCT+2340B,"Concrete 30"" Round Bar Table (Pedestal Base, no Hole)",concrete-30-round-bar-table-pedestal-base-no-hole-c0030rct-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}",True,True
5735,C3030SCTWH+2330B,"Concrete 30"" Square Dining Table (Pedestal Base, with Hole)",concrete-30-square-dining-table-pedestal-base-with-hole-c3030sctwh-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}",True,True
5736,C3030SCTWH+2334B,"Concrete 30"" Square Balcony Table (Pedestal Base, with Hole)",concrete-30-square-balcony-table-pedestal-base-with-hole-c3030sctwh-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}",True,True
5737,C3030SCTWH+2340B,"Concrete 30"" Square Bar Table (Pedestal Base, with Hole)",concrete-30-square-bar-table-pedestal-base-with-hole-c3030sctwh-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}",True,True
5738,C3030SCT+5723B,"Concrete 30"" Square End Table (Post Base, no Hole)",concrete-30-square-end-table-post-base-no-hole-c3030sct-5723b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '21""'}",True,True
5739,C3030SCT+2330B,"Concrete 30"" Square Dining Table (Pedestal Base, no Hole)",concrete-30-square-dining-table-pedestal-base-no-hole-c3030sct-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}",True,True
5740,C3030SCT+2334B,"Concrete 30"" Square Balcony Table (Pedestal Base, no Hole)",concrete-30-square-balcony-table-pedestal-base-no-hole-c3030sct-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}",True,True
5741,C3030SCT+2340B,"Concrete 30"" Square Bar Table (Pedestal Base, no Hole)",concrete-30-square-bar-table-pedestal-base-no-hole-c3030sct-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}",True,True
5742,C3252XCT+273252B,"Concrete 32"" x 52"" Rectangle Coffee Table (Trestle Base, no Hole)",concrete-32-x-52-rectangle-coffee-table-trestle-base-no-hole-c3252xct-273252b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '52""', 'Width': '32""', 'Height': '15.1""'}",True,True
5743,C0036RCT+2330B,"Concrete 36"" Round Dining Table (Pedestal Base, with Hole)",concrete-36-round-dining-table-pedestal-base-with-hole-c0036rct-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}",True,True
5744,C0036RCT+2334B,"Concrete 36"" Round Balcony Table (Pedestal Base, with Hole)",concrete-36-round-balcony-table-pedestal-base-with-hole-c0036rct-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}",True,True
5745,C0036RCT+2340B,"Concrete 36"" Round Bar Table (Pedestal Base, with Hole)",concrete-36-round-bar-table-pedestal-base-with-hole-c0036rct-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}",True,True
5746,C0036RCTNU+2330B,"Concrete 36"" Round Dining Table (Pedestal Base, no Hole)",concrete-36-round-dining-table-pedestal-base-no-hole-c0036rctnu-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}",True,True
5747,C0036RCTNU+2334B,"Concrete 36"" Round Balcony Table (Pedestal Base, no Hole)",concrete-36-round-balcony-table-pedestal-base-no-hole-c0036rctnu-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}",True,True
5748,C0036RCTNU+2340B,"Concrete 36"" Round Bar Table (Pedestal Base, no Hole)",concrete-36-round-bar-table-pedestal-base-no-hole-c0036rctnu-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}",True,True
5749,C3636SCT+2330B,"Concrete 36"" Square Dining Table (Pedestal Base, with Hole)",concrete-36-square-dining-table-pedestal-base-with-hole-c3636sct-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}",True,True
5750,C3636SCT+2334B,"Concrete 36"" Square Balcony Table (Pedestal Base, with Hole)",concrete-36-square-balcony-table-pedestal-base-with-hole-c3636sct-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}",True,True
5751,C3636SCT+2340B,"Concrete 36"" Square Bar Table (Pedestal Base, with Hole)",concrete-36-square-bar-table-pedestal-base-with-hole-c3636sct-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}",True,True
5752,C3636SCTNU+2330B,"Concrete 36"" Square Dining Table (Pedestal Base, no Hole)",concrete-36-square-dining-table-pedestal-base-no-hole-c3636sctnu-2330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}",True,True
5753,C3636SCTNU+2334B,"Concrete 36"" Square Balcony Table (Pedestal Base, no Hole)",concrete-36-square-balcony-table-pedestal-base-no-hole-c3636sctnu-2334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}",True,True
5754,C3636SCTNU+2340B,"Concrete 36"" Square Bar Table (Pedestal Base, no Hole)",concrete-36-square-bar-table-pedestal-base-no-hole-c3636sctnu-2340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}",True,True
5755,C3660XCT+273660B,"Concrete 36"" x 60"" Rectangle Coffee Table (Trestle Base, no Hole)",concrete-36-x-60-rectangle-coffee-table-trestle-base-no-hole-c3660xct-273660b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '60""', 'Width': '36""', 'Height': '15.1""'}",True,True
5756,C0042RCT+3330B,"Concrete 42"" Round Dining Table (Pedestal Base, with Hole)",concrete-42-round-dining-table-pedestal-base-with-hole-c0042rct-3330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}",True,True
5757,C0042RCT+3334B,"Concrete 42"" Round Balcony Table (Pedestal Base, with Hole)",concrete-42-round-balcony-table-pedestal-base-with-hole-c0042rct-3334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}",True,True
5758,C0042RCT+3340B,"Concrete 42"" Round Bar Table (Pedestal Base, with Hole)",concrete-42-round-bar-table-pedestal-base-with-hole-c0042rct-3340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}",True,True
5759,C0042RCTNU+2742RB,"Concrete 42"" Round Coffee Table (Trestle Base, no Hole)",concrete-42-round-coffee-table-trestle-base-no-hole-c0042rctnu-2742rb-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '15.1""'}",True,True
5760,C0042RCTNU+3330B,"Concrete 42"" Round Dining Table (Pedestal Base, no Hole)",concrete-42-round-dining-table-pedestal-base-no-hole-c0042rctnu-3330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}",True,True
5761,C0042RCTNU+3334B,"Concrete 42"" Round Balcony Table (Pedestal Base, no Hole)",concrete-42-round-balcony-table-pedestal-base-no-hole-c0042rctnu-3334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""'}",True,True
5762,C0042RCTNU+3340B,"Concrete 42"" Round Bar Table (Pedestal Base, no Hole)",concrete-42-round-bar-table-pedestal-base-no-hole-c0042rctnu-3340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""'}",True,True
