id,sku,name,mfg_name,cat_name,available_online,quote_only,show_price_online,price,sale_price,is_active,priced,scope
5084,24G,Round Galvanized Steel Base 70 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,680.00,612.00,True,True,OUT
5085,50C,Resin Coated Concrete Base 50 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,108.00,98.00,True,True,OUT
5086,50S,Steel Plate Base 50 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,300.00,270.00,True,True,OUT
5087,18ST,"Stainless Steel Stem (1.5"" x 18"")",Frankford Umbrellas,Umbrella Bases,True,False,True,174.00,157.00,True,True,OUT
5088,8ST,"Stainless Steel Stem (1.5"" x 8"")",Frankford Umbrellas,Umbrella Bases,True,False,True,142.00,128.00,True,True,OUT
5089,18ST2,"Stainless Steel Stem (2.0"" x 18"")",Frankford Umbrellas,Umbrella Bases,True,False,True,216.00,195.00,True,True,OUT
5090,+W,Castor Locking Wheels (Set of 4),Frankford Umbrellas,Umbrella Bases,True,False,True,280.00,252.00,True,True,OUT
5091,36G-SQx2,Square Galvanized Steel Base and Base Stacks 400 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,2540.00,2286.00,True,True,OUT
5092,36G-SQx3,Square Galvanized Steel Base and Base Stacks 600 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,3810.00,3429.00,True,True,OUT
5094,40G+36G,Round Galvanized Steel Base Stacks Combo (Base & 2 Stacking Plates),Frankford Umbrellas,Umbrella Bases,True,False,True,2270.00,2043.00,True,True,OUT
5095,40Gx2,Round Galvanized Steel Base Stacks 370 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,2540.00,2286.00,True,True,OUT
5096,40Gx3,Round Galvanized Steel Base Stacks 555 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,3810.00,3429.00,True,True,OUT
5097,40Gx4,Round Galvanized Steel Base Stacks 740 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,5080.00,4572.00,True,True,OUT
5100,DP-SM/BK,Surface Mount Deck Plate,Frankford Umbrellas,Umbrella Bases,True,False,True,230.00,207.00,True,True,OUT
5101,DP-SS,Stainless Steel Surface Mount Deck Plate,Frankford Umbrellas,Umbrella Bases,True,False,True,510.00,459.00,True,True,OUT
5102,SS-DB (4),Stainless Steel Countersunk Concrete Wedge Anchors (4),Frankford Umbrellas,Umbrella Bases,True,False,True,64.00,58.00,True,True,OUT
5103,150A+18ST2,Premium Aluminum Shell Wheel Combo (150 lb Base & Stem),Frankford Umbrellas,Umbrella Bases,True,False,True,970.00,873.00,True,True,OUT
5104,36G+18ST2,Round Galvanized Steel Base Stacks Combo (150 lb Base & Stem),Frankford Umbrellas,Umbrella Bases,True,False,True,1160.00,1044.00,True,True,OUT
5105,36G-SQ+18ST2,Square Galvanized Steel Base and Base Stacks Combo (200 lb Base & Stem),Frankford Umbrellas,Umbrella Bases,True,False,True,1430.00,1287.00,True,True,OUT
5106,40G+18ST2,Round Galvanized Steel Base Stacks Combo (185 lb Base & Stem),Frankford Umbrellas,Umbrella Bases,True,False,True,1430.00,1287.00,True,True,OUT
5107,480+18ST2,Model 480 Wheel Base Combo (Base & Stem),Frankford Umbrellas,Umbrella Bases,True,False,True,1380.00,1242.00,True,True,OUT
5108,NGU-DP,Galvanized Steel Surface Mount Deck Plate,Frankford Umbrellas,Umbrella Bases,True,False,True,280.00,252.00,True,True,OUT
5109,NGU550,Galvanized Steel Max Base,Frankford Umbrellas,Umbrella Bases,True,False,True,2540.00,2286.00,True,True,OUT
5111,BZ2-SM,"Bazooka In-Ground Anchored Stem (2"")",Frankford Umbrellas,Umbrella Bases,True,False,True,484.00,436.00,True,True,OUT
5112,BZ2-SS,Stainless Steel Bazooka Stem Upgrade,Frankford Umbrellas,Umbrella Bases,True,False,True,112.00,101.00,True,True,OUT
5113,CMLK-SM,Camlock Surface Mounted Stem,Frankford Umbrellas,Umbrella Bases,True,False,True,306.00,276.00,True,True,OUT
5114,DP-ST,Stainless Steel Stem Surface Mount,Frankford Umbrellas,Umbrella Bases,True,False,True,160.00,144.00,True,True,OUT
5116,IG-ST,Stainless Steel Stem In-Ground Mount,Frankford Umbrellas,Umbrella Bases,True,False,True,205.00,185.00,True,True,OUT
5118,30G+24G-MLA,Round Galvanized Steel Base Stacks Marella Combo (Base & Double Plates),Frankford Umbrellas,Umbrella Bases,True,False,True,1428.00,1286.00,True,True,OUT
5119,30G-MLA,Round Galvanized Steel Base Stacks 100 lbs (Marella),Frankford Umbrellas,Umbrella Bases,True,False,True,810.00,729.00,True,True,OUT
5120,30Gx2-MLA,Round Galvanized Steel Base Stacks 200 lbs (Marella),Frankford Umbrellas,Umbrella Bases,True,False,True,1620.00,1458.00,True,True,OUT
5121,36G-MLA,Round Galvanized Steel Base Stacks 150 lbs (Marella),Frankford Umbrellas,Umbrella Bases,True,False,True,1110.00,999.00,True,True,OUT
5122,36G-SQ-MLA,Square Galvanized Steel Base (Marella),Frankford Umbrellas,Umbrella Bases,True,False,True,1380.00,1242.00,True,True,OUT
5123,MLA-8ST2,Marella Stainless Steel Stem,Frankford Umbrellas,Umbrella Bases,True,False,True,216.00,195.00,True,True,OUT
5124,DP-ST (4),Stainless Steel Stem Surface Mount (4),Frankford Umbrellas,Umbrella Bases,True,False,True,640.00,576.00,True,True,OUT
5558,IG,In-Ground Mount,Frankford Umbrellas,Umbrella Bases,True,False,True,280.00,252.00,True,True,OUT
5562,36G-SQx4,Square Galvanized Steel Base and Base Stacks 800 lbs,Frankford Umbrellas,Umbrella Bases,True,False,True,5080.00,4572.00,True,True,OUT
5563,BZ-SM,"Bazooka In-Ground Anchored Stem (1.5"")",Frankford Umbrellas,Umbrella Bases,True,False,True,345.00,311.00,True,True,OUT
5564,38-SAP,"Sand and Soil Anchor (1.5"")",Frankford Umbrellas,Umbrella Bases,True,False,True,157.00,142.00,True,True,OUT
5565,38-SAP-2,"Sand and Soil Anchor (2"")",Frankford Umbrellas,Umbrella Bases,True,False,True,220.00,198.00,True,True,OUT
2293,845CAM,The Greenwich,Frankford Umbrellas,Umbrellas,True,False,True,1030.00,927.00,True,True,OUT
2294,845FM,The Monterey Pulley Lift,Frankford Umbrellas,Umbrellas,True,False,True,566.00,510.00,True,True,OUT
2295,845FMC,The Monterey Crank Lift Non-Tilting,Frankford Umbrellas,Umbrellas,True,False,True,607.00,547.00,True,True,OUT
2296,845FMA,The Monterey Crank Lift Auto-Tilting,Frankford Umbrellas,Umbrellas,True,False,True,657.00,592.00,True,True,OUT
2297,880CAM,The Giant Greenwich,Frankford Umbrellas,Umbrellas,True,False,True,1875.00,1688.00,True,True,OUT
2298,880FM,The Giant Monterey,Frankford Umbrellas,Umbrellas,True,False,True,1682.00,1514.00,True,True,OUT
2299,868ARU,The Aurora Aluminum,Frankford Umbrellas,Umbrellas,True,False,True,3851.00,3466.00,True,True,OUT
