id,sku,name,collection,specs,description,short_description
5792,3742RBSHNU,"Shadow Rock Round Balcony Table 42"" (Universal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5793,3742SFSH,"Shadow Rock Square Dining Table 42"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5794,3742SBSH,"Shadow Rock Square Balcony Table 42"" (Universal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5795,3742SFSHNU,"Shadow Rock Square Dining Table 42"" (Universal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5796,3742SBSHNU,"Shadow Rock Square Balcony Table 42"" (Universal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5797,C2424SSH+5723B,"Shadow Rock Square End Table 24"" (Post Base, no Hole)",Shadow Rock,"{'Depth': '24""', 'Width': '24""', 'Height': '21""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5798,C2644XSH+5744B,"Shadow Rock Rectangle Coffee Table 26"" x 44"" (Post Base, no Hole)",Shadow Rock,"{'Depth': '44""', 'Width': '26""', 'Height': '16""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5799,C3030SSH+5723B,"Shadow Rock Square End Table 30"" (Post Base, no Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '21""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5800,C3048XSH+5744B,"Shadow Rock Rectangle Coffee Table 30"" x 48"" (Post Base, no Hole)",Shadow Rock,"{'Depth': '48""', 'Width': '30""', 'Height': '16""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5801,C2644XSH+272644B,"Shadow Rock Rectangle Coffee Table 26"" x 44"" (Trestle Base, no Hole)",Shadow Rock,"{'Depth': '44""', 'Width': '26""', 'Height': '15.1""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5802,C3252XSH+273252B,"Shadow Rock Rectangle Coffee Table 32"" x 52"" (Trestle Base, no Hole)",Shadow Rock,"{'Depth': '52""', 'Width': '32""', 'Height': '15.1""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5803,C3660XSH+273660B,"Shadow Rock Rectangle Coffee Table 36"" x 60"" (Trestle Base, no Hole)",Shadow Rock,"{'Depth': '60""', 'Width': '36""', 'Height': '15.1""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5804,C0042RSHNU+2742RB,"Shadow Rock Round Coffee Table 42"" (Trestle Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '15.1""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5805,C4242SSHNU+2742SB,"Shadow Rock Square Coffee Table 42"" (Trestle Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '15.1""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5806,C0030RSHWH+2330B,"Shadow Rock Round Dining Table 30"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5807,C0030RSHWH+2334B,"Shadow Rock Round Balcony Table 30"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5808,C0030RSHWH+2340B,"Shadow Rock Round Bar Table 30"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5809,C0030RSH+2330B,"Shadow Rock Round Dining Table 30"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5810,C0030RSH+2334B,"Shadow Rock Round Balcony Table 30"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5811,C0030RSH+2340B,"Shadow Rock Round Bar Table 30"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5812,C3030SSHWH+2330B,"Shadow Rock Square Dining Table 30"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5813,C3030SSHWH+2334B,"Shadow Rock Square Balcony Table 30"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5814,C3030SSHWH+2340B,"Shadow Rock Square Bar Table 30"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5815,C3030SSH+2330B,"Shadow Rock Square Dining Table 30"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5816,C3030SSH+2334B,"Shadow Rock Square Balcony Table 30"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5817,C3030SSH+2340B,"Shadow Rock Square Bar Table 30"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5818,C3048XSH+2330B,"Shadow Rock Rectangle Dining Table 30"" x 48"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '48""', 'Width': '30""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5819,C3048XSH+2334B,"Shadow Rock Rectangle Balcony Table 30"" x 48"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '48""', 'Width': '30""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5820,C3048XSH+2340B,"Shadow Rock Rectangle Bar Table 30"" x 48"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '48""', 'Width': '30""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5821,C0036RSH+2330B,"Shadow Rock Round Dining Table 36"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5822,C0036RSH+2334B,"Shadow Rock Round Balcony Table 36"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5823,C0036RSH+2340B,"Shadow Rock Round Bar Table 36"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5824,C0036RSHNU+2330B,"Shadow Rock Round Dining Table 36"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5825,C0036RSHNU+2334B,"Shadow Rock Round Balcony Table 36"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5826,C0036RSHNU+2340B,"Shadow Rock Round Bar Table 36"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5827,C3636SSH+2330B,"Shadow Rock Square Dining Table 36"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5828,C3636SSH+2334B,"Shadow Rock Square Balcony Table 36"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5829,C3636SSH+2340B,"Shadow Rock Square Bar Table 36"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5830,C3636SSHNU+2330B,"Shadow Rock Square Dining Table 36"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5831,C3636SSHNU+2334B,"Shadow Rock Square Balcony Table 36"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5832,C3636SSHNU+2340B,"Shadow Rock Square Bar Table 36"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5833,C0042RSH+3330B,"Shadow Rock Round Dining Table 42"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5834,C0042RSH+3334B,"Shadow Rock Round Balcony Table 42"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5835,C0042RSH+3340B,"Shadow Rock Round Bar Table 42"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5836,C0042RSHNU+3330B,"Shadow Rock Round Dining Table 42"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5837,C0042RSHNU+3334B,"Shadow Rock Round Balcony Table 42"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5838,C0042RSHNU+3340B,"Shadow Rock Round Bar Table 42"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5839,C4242SSH+3330B,"Shadow Rock Square Dining Table 42"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5840,C4242SSH+3334B,"Shadow Rock Square Balcony Table 42"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5841,C4242SSH+3340B,"Shadow Rock Square Bar Table 42"" (Pedestal Base, with Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '39.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5842,C4242SSHNU+3330B,"Shadow Rock Square Dining Table 42"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
5843,C4242SSHNU+3334B,"Shadow Rock Square Balcony Table 42"" (Pedestal Base, no Hole)",Shadow Rock,"{'Depth': '42""', 'Width': '42""', 'Height': '33.25""', 'Material': 'Natural Series'}","Homecrest's elegant Shadow Rock tops provide an attractive look and are the perfect complement to any outdoor furniture set. With its beautiful, distinct texture and natural colors, the Shadow Rock top creates a stunning centerpiece for your outdoor area and provides a laid-back atmosphere of relaxation and conversation. Available in several heights, top sizes, and finishes, Shadow Rock features top-quality, American-made components that will withstand weather and can be used season after season.",
