id,sku,name,collection,specs,description,short_description
5714,3754RBCTNU,"Concrete Round Balcony Table 54"" (Universal Base, no Hole)",Concrete,"{'Depth': '54""', 'Width': '54""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5715,2721SCT,"Concrete 24"" Square Side Table (Trestle Base, no Hole)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '16""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5716,2722SCT,"Concrete 24"" Square End Table (Trestle Base, no Hole)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '21""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5717,2742SFCT,"Concrete 42"" Square Dining Table (Trestle Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '30""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5718,2742SFCTNU,"Concrete 42"" Square Dining Table (Trestle Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '30""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5719,274284FCT,"Concrete 42"" x 84"" Rectangle Dining Table (Post Base, with Hole)",Concrete,"{'Depth': '84""', 'Width': '42""', 'Height': '30""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5720,2542SFCT,"Concrete 42"" Square Dining Table (Post Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '30.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5721,2542SBCT,"Concrete 42"" Square Balcony Table (Post Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5722,2542SFCTNU,"Concrete 42"" Square Dining Table (Post Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '30.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5723,2542SBCTNU,"Concrete 42"" Square Balcony Table (Post Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
