variant_id,product_sku,variant_sku,variant_name,grade,msrp,sale_price
127,UM800,UM800-02-SWV,Anthracite (SWV),A,785.00,589.00
127,UM800,UM800-02-SWV,Anthracite (SWV),Awning,1295.00,972.00
127,UM800,UM800-02-SWV,Anthracite (SWV),C,590.00,443.00
1205,UM800,UM800-09-DWV,Black (DWV),A,825.00,619.00
1205,UM800,UM800-09-DWV,Black (DWV),Awning,1355.00,1017.00
1205,UM800,UM800-09-DWV,Black (DWV),C,620.00,465.00
128,UM800,UM800-09-SWV,Black (SWV),A,785.00,589.00
128,UM800,UM800-09-SWV,Black (SWV),Awning,1295.00,972.00
128,UM800,UM800-09-SWV,Black (SWV),C,590.00,443.00
1203,UM800,UM800-00-DWV,Bronze (DWV),A,825.00,619.00
1203,UM800,UM800-00-DWV,Bronze (DWV),Awning,1355.00,1017.00
1203,UM800,UM800-00-DWV,Bronze (DWV),C,620.00,465.00
126,UM800,UM800-00-SWV,Bronze (SWV),A,785.00,589.00
126,UM800,UM800-00-SWV,Bronze (SWV),Awning,1295.00,972.00
126,UM800,UM800-00-SWV,Bronze (SWV),C,590.00,443.00
1200,UM800LX,UM800LX-09-DWV,Black (DWV),A,1310.00,983.00
1200,UM800LX,UM800LX-09-DWV,Black (DWV),C,1100.00,825.00
123,UM800LX,UM800LX-09-SWV,Black (SWV),A,1260.00,945.00
123,UM800LX,UM800LX-09-SWV,Black (SWV),C,1065.00,799.00
1199,UM800LX,UM800LX-00-DWV,Bronze (DWV),A,1310.00,983.00
1199,UM800LX,UM800LX-00-DWV,Bronze (DWV),C,1100.00,825.00
122,UM800LX,UM800LX-00-SWV,Bronze (SWV),A,1260.00,945.00
122,UM800LX,UM800LX-00-SWV,Bronze (SWV),C,1065.00,799.00
1202,UM801,UM801-09-DWV,Black (DWV),A,1180.00,885.00
1202,UM801,UM801-09-DWV,Black (DWV),Awning,1870.00,1403.00
1202,UM801,UM801-09-DWV,Black (DWV),C,950.00,713.00
125,UM801,UM801-09-SWV,Black (SWV),A,1105.00,829.00
125,UM801,UM801-09-SWV,Black (SWV),Awning,1745.00,1309.00
125,UM801,UM801-09-SWV,Black (SWV),C,890.00,668.00
1201,UM801,UM801-00-DWV,Bronze (DWV),A,1180.00,885.00
1201,UM801,UM801-00-DWV,Bronze (DWV),Awning,1870.00,1403.00
1201,UM801,UM801-00-DWV,Bronze (DWV),C,950.00,713.00
124,UM801,UM801-00-SWV,Bronze (SWV),A,1105.00,829.00
124,UM801,UM801-00-SWV,Bronze (SWV),Awning,1745.00,1309.00
124,UM801,UM801-00-SWV,Bronze (SWV),C,890.00,668.00
1228,UM809-1H,UM809-1H-DWV,Hardwood (DWV),A,430.00,323.00
1228,UM809-1H,UM809-1H-DWV,Hardwood (DWV),Awning,570.00,428.00
163,UM809-1H,UM809-1H-SWV,Hardwood (SWV),A,405.00,304.00
163,UM809-1H,UM809-1H-SWV,Hardwood (SWV),Awning,515.00,387.00
1219,UM810,UM810-02-DWV,Anthracite (DWV),A,720.00,540.00
1219,UM810,UM810-02-DWV,Anthracite (DWV),Awning,1225.00,919.00
1219,UM810,UM810-02-DWV,Anthracite (DWV),C,545.00,409.00
145,UM810,UM810-02-SWV,Anthracite (SWV),A,690.00,518.00
145,UM810,UM810-02-SWV,Anthracite (SWV),Awning,1180.00,885.00
145,UM810,UM810-02-SWV,Anthracite (SWV),C,500.00,375.00
1221,UM810,UM810-09-DWV,Black (DWV),A,720.00,540.00
1221,UM810,UM810-09-DWV,Black (DWV),Awning,1225.00,919.00
1221,UM810,UM810-09-DWV,Black (DWV),C,545.00,409.00
147,UM810,UM810-09-SWV,Black (SWV),A,690.00,518.00
147,UM810,UM810-09-SWV,Black (SWV),Awning,1180.00,885.00
147,UM810,UM810-09-SWV,Black (SWV),C,500.00,375.00
1218,UM810,UM810-00-DWV,Bronze (DWV),A,720.00,540.00
1218,UM810,UM810-00-DWV,Bronze (DWV),Awning,1225.00,919.00
1218,UM810,UM810-00-DWV,Bronze (DWV),C,545.00,409.00
144,UM810,UM810-00-SWV,Bronze (SWV),A,690.00,518.00
144,UM810,UM810-00-SWV,Bronze (SWV),Awning,1180.00,885.00
144,UM810,UM810-00-SWV,Bronze (SWV),C,500.00,375.00
1216,UM810,UM810-SS-DWV,Silver Shadow (DWV),A,775.00,582.00
1216,UM810,UM810-SS-DWV,Silver Shadow (DWV),Awning,1315.00,987.00
1216,UM810,UM810-SS-DWV,Silver Shadow (DWV),C,590.00,443.00
142,UM810,UM810-SS-SWV,Silver Shadow (SWV),A,730.00,548.00
142,UM810,UM810-SS-SWV,Silver Shadow (SWV),Awning,1275.00,957.00
142,UM810,UM810-SS-SWV,Silver Shadow (SWV),C,550.00,413.00
1217,UM810,UM810-WO-DWV,Weathered Oak (DWV),A,775.00,582.00
1217,UM810,UM810-WO-DWV,Weathered Oak (DWV),Awning,1315.00,987.00
1217,UM810,UM810-WO-DWV,Weathered Oak (DWV),C,590.00,443.00
143,UM810,UM810-WO-SWV,Weathered Oak (SWV),A,730.00,548.00
143,UM810,UM810-WO-SWV,Weathered Oak (SWV),Awning,1275.00,957.00
143,UM810,UM810-WO-SWV,Weathered Oak (SWV),C,550.00,413.00
1220,UM810,UM810-03-DWV,White (DWV),A,720.00,540.00
1220,UM810,UM810-03-DWV,White (DWV),Awning,1225.00,919.00
1220,UM810,UM810-03-DWV,White (DWV),C,545.00,409.00
146,UM810,UM810-03-SWV,White (SWV),A,690.00,518.00
146,UM810,UM810-03-SWV,White (SWV),Awning,1180.00,885.00
146,UM810,UM810-03-SWV,White (SWV),C,500.00,375.00
1213,UM812,UM812-02-DWV,Anthracite (DWV),A,1015.00,762.00
1213,UM812,UM812-02-DWV,Anthracite (DWV),Awning,1745.00,1309.00
1213,UM812,UM812-02-DWV,Anthracite (DWV),C,830.00,623.00
139,UM812,UM812-02-SWV,Anthracite (SWV),A,945.00,709.00
139,UM812,UM812-02-SWV,Anthracite (SWV),Awning,1555.00,1167.00
139,UM812,UM812-02-SWV,Anthracite (SWV),C,750.00,563.00
1215,UM812,UM812-09-DWV,Black (DWV),A,1015.00,762.00
1215,UM812,UM812-09-DWV,Black (DWV),Awning,1745.00,1309.00
1215,UM812,UM812-09-DWV,Black (DWV),C,830.00,623.00
141,UM812,UM812-09-SWV,Black (SWV),A,945.00,709.00
141,UM812,UM812-09-SWV,Black (SWV),Awning,1555.00,1167.00
141,UM812,UM812-09-SWV,Black (SWV),C,750.00,563.00
1212,UM812,UM812-00-DWV,Bronze (DWV),A,1015.00,762.00
1212,UM812,UM812-00-DWV,Bronze (DWV),Awning,1745.00,1309.00
1212,UM812,UM812-00-DWV,Bronze (DWV),C,830.00,623.00
138,UM812,UM812-00-SWV,Bronze (SWV),A,945.00,709.00
138,UM812,UM812-00-SWV,Bronze (SWV),Awning,1555.00,1167.00
138,UM812,UM812-00-SWV,Bronze (SWV),C,750.00,563.00
1214,UM812,UM812-03-DWV,White (DWV),A,1015.00,762.00
1214,UM812,UM812-03-DWV,White (DWV),Awning,1745.00,1309.00
1214,UM812,UM812-03-DWV,White (DWV),C,830.00,623.00
140,UM812,UM812-03-SWV,White (SWV),A,945.00,709.00
140,UM812,UM812-03-SWV,White (SWV),Awning,1555.00,1167.00
140,UM812,UM812-03-SWV,White (SWV),C,750.00,563.00
1211,UM840,UM840-09-DWV,Black (DWV),A,745.00,559.00
1211,UM840,UM840-09-DWV,Black (DWV),Awning,1265.00,949.00
1211,UM840,UM840-09-DWV,Black (DWV),C,560.00,420.00
134,UM840,UM840-09-SWV,Black (SWV),A,715.00,537.00
